idx,zero_distance,random_distance,random_std,random_type,replay_distance,optimized_distance,pass,reduction_vs_random,improvement_ratio,pass_vs_shuffled,reduction_vs_shuffled,improvement_ratio_vs_shuffled
22742,0.016863642260432243,0.018909774906933307,0.0020892664324492216,dataset,0.01680045574903488,0.016262879595160484,True,0.0026468953117728226,0.13997497721680088,True,0.0005596518516540541,0.033267992598107345
51384,0.04530114680528641,0.04545127302408218,0.005148198455572128,dataset,0.03746284916996956,0.036326274275779724,True,0.009124998748302457,0.20076442619038662,True,0.0011601936072111116,0.030949664578495524
7855,0.030599210411310196,0.03219899702817201,0.0014772496651858091,dataset,0.029099510982632637,0.02831992693245411,True,0.003879070095717904,0.12047176787289281,True,0.0008123412728309638,0.027884587190625677
42980,0.0258324071764946,0.02953459694981575,0.002233007689937949,dataset,0.026096181944012642,0.024672161787748337,True,0.004862435162067413,0.16463523000938557,True,0.0014857338741421713,0.05679867728453172
38223,0.03246248513460159,0.039213630557060244,0.0057985964231193066,dataset,0.029044553637504578,0.028148338198661804,True,0.01106529235839844,0.2821797472258325,True,0.0010243928059935556,0.03511473800070634
7427,0.023825757205486298,0.025762763991951942,0.0014018750516697764,dataset,0.024016520008444786,0.022884219884872437,True,0.0028785441070795052,0.11173273597424317,True,0.0011396212503314018,0.04743709567165902
10297,0.05388752743601799,0.0553665317595005,0.004531312268227339,dataset,0.04756971076130867,0.046126432716846466,True,0.009240099042654035,0.16688961271388467,True,0.002377533912658693,0.04901730884855981
5760,0.05106239765882492,0.05007641687989235,0.0039049198385328054,dataset,0.042634930461645126,0.04202685505151749,True,0.008049561828374865,0.16074556307975543,True,0.0006537530571222305,0.015317332298971933
49239,0.028019079938530922,0.03145775571465492,0.002593391574919224,dataset,0.025347497314214706,0.023891307413578033,True,0.007566448301076889,0.24052727631653584,True,0.0014412133023142815,0.05689182369483423
15174,0.03226247429847717,0.03536114878952503,0.0020057617221027613,dataset,0.03164637088775635,0.030011000111699104,True,0.005350148677825926,0.15130019416707388,True,0.001631187647581099,0.05155103875845927
12283,0.06771423667669296,0.07064806073904037,0.006750786677002907,dataset,0.04928608238697052,0.04820277541875839,True,0.022445285320281977,0.3177056112437441,True,0.0012575216591358199,0.0254248707231857
20512,0.026655856519937515,0.028622011095285414,0.0022913774009793997,dataset,0.024453449994325638,0.02315165102481842,True,0.005470360070466994,0.19112423834424638,True,0.0013229981064796434,0.05405585589326385
54228,0.03794289752840996,0.03910665176808834,0.003511641873046756,dataset,0.03226600959897041,0.0316142775118351,True,0.007492374256253244,0.1915882316053235,True,0.0006892807781696333,0.021337611540549962
40261,0.0253381859511137,0.026941193267703056,0.0032528636511415243,dataset,0.022800173610448837,0.02208981290459633,True,0.004851380363106728,0.18007295797556724,True,0.0005260586738586419,0.023260596967653112
54492,0.03650945425033569,0.03637271784245968,0.003312624292448163,dataset,0.03184686601161957,0.030827127397060394,True,0.005545590445399283,0.15246566037266646,True,0.0011850841343402849,0.03701975207735459
20958,0.04579423740506172,0.042157597839832306,0.004653506446629763,dataset,0.033853646367788315,0.032631613314151764,True,0.009525984525680542,0.22596127421377846,True,0.0012532953172922148,0.036986828883735036
14742,0.030043916776776314,0.03208788223564625,0.001375093823298812,dataset,0.028747955337166786,0.02798144519329071,True,0.00410643704235554,0.1279746981180865,True,0.0009057093411684036,0.031353359504065884
24770,0.023289915174245834,0.026147636398673058,0.0045382184907794,dataset,0.021445274353027344,0.02022593654692173,True,0.005921699851751328,0.22647170709670122,True,0.0013246186077594743,0.06146563734678274
11268,0.027651451528072357,0.030369300954043867,0.0023152257781475782,dataset,0.02715800702571869,0.0259842649102211,True,0.004385036043822767,0.14439041749622067,True,0.001199184171855449,0.04411449659072634
24724,0.0316719114780426,0.03088828772306442,0.002114927861839533,dataset,0.027523644268512726,0.02623063325881958,True,0.004657654464244841,0.15079030945334498,True,0.0013180026784539237,0.04784275640561413
43744,0.020743977278470993,0.021651513129472732,0.0008643899345770478,dataset,0.020397569984197617,0.019595500081777573,True,0.0020560130476951592,0.09495932387729746,True,0.0007945349439978586,0.03896682585358347
52252,0.03521260991692543,0.036181195825338366,0.0011410212609916925,dataset,0.03420686349272728,0.03264196217060089,True,0.0035392336547374753,0.09781969816096803,True,0.0018482849001884433,0.05358862452898468
