idx,method,initial_distance,optimized_distance,reduction
22742,gradient,0.016863642260432243,0.016262879595160484,0.000600762665271759
51384,gradient,0.04530114680528641,0.036326274275779724,0.008974872529506683
7855,gradient,0.030599210411310196,0.02831992693245411,0.0022792834788560867
42980,gradient,0.0258324071764946,0.024672161787748337,0.0011602453887462616
38223,gradient,0.03246248513460159,0.028148338198661804,0.004314146935939789
7427,gradient,0.023825757205486298,0.022884219884872437,0.0009415373206138611
10297,gradient,0.05388752743601799,0.046126432716846466,0.007761094719171524
5760,gradient,0.05106239765882492,0.04202685505151749,0.009035542607307434
49239,gradient,0.028019079938530922,0.023891307413578033,0.0041277725249528885
15174,gradient,0.03226247429847717,0.030011000111699104,0.0022514741867780685
12283,gradient,0.06771423667669296,0.04820277541875839,0.01951146125793457
20512,gradient,0.026655856519937515,0.02315165102481842,0.003504205495119095
54228,gradient,0.03794289752840996,0.0316142775118351,0.00632862001657486
40261,gradient,0.0253381859511137,0.02208981290459633,0.003248373046517372
54492,gradient,0.03650945425033569,0.030827127397060394,0.005682326853275299
20958,gradient,0.04579423740506172,0.032631613314151764,0.013162624090909958
14742,gradient,0.030043916776776314,0.02798144519329071,0.0020624715834856033
24770,gradient,0.023289915174245834,0.02022593654692173,0.0030639786273241043
11268,gradient,0.027651451528072357,0.0259842649102211,0.0016671866178512573
24724,gradient,0.0316719114780426,0.02623063325881958,0.0054412782192230225
43744,gradient,0.020743977278470993,0.019595500081777573,0.0011484771966934204
52252,gradient,0.03521260991692543,0.03264196217060089,0.002570647746324539
54893,gradient,0.04405174404382706,0.03605639189481735,0.007995352149009705
27835,gradient,0.029693730175495148,0.02560190111398697,0.004091829061508179
50430,gradient,0.04070097953081131,0.03413188084959984,0.0065690986812114716
48648,gradient,0.045600421726703644,0.03817097842693329,0.007429443299770355
16155,gradient,0.036342546343803406,0.02886655554175377,0.007475990802049637
52146,gradient,0.03946901857852936,0.0330323800444603,0.006436638534069061
41683,gradient,0.02642793208360672,0.02129559963941574,0.005132332444190979
19322,gradient,0.043216001242399216,0.02757863514125347,0.015637366101145744
37991,gradient,0.027448434382677078,0.02413594350218773,0.0033124908804893494
53849,gradient,0.03714258596301079,0.030819198116660118,0.00632338784635067
48595,gradient,0.02193325012922287,0.020826132968068123,0.001107117161154747
43067,gradient,0.02533085271716118,0.023192668333649635,0.0021381843835115433
40749,gradient,0.021261680871248245,0.01978457346558571,0.0014771074056625366
51695,gradient,0.022465167567133904,0.02170049585402012,0.0007646717131137848
34302,gradient,0.03699508681893349,0.03258143737912178,0.0044136494398117065
39641,gradient,0.02718247100710869,0.02330200932919979,0.0038804616779088974
12901,gradient,0.043858058750629425,0.03808870539069176,0.005769353359937668
15595,gradient,0.0661577433347702,0.04584972560405731,0.02030801773071289
19602,gradient,0.042105529457330704,0.03238632157444954,0.009719207882881165
17288,gradient,0.0561552494764328,0.03634926676750183,0.01980598270893097
7118,gradient,0.025600634515285492,0.023667899891734123,0.0019327346235513687
13292,gradient,0.06787911057472229,0.04146965593099594,0.02640945464372635
53007,gradient,0.023660199716687202,0.022239919751882553,0.0014202799648046494
40350,gradient,0.034653130918741226,0.026591192930936813,0.008061937987804413
37113,gradient,0.03243464231491089,0.030094176530838013,0.002340465784072876
53622,gradient,0.06151266768574715,0.04152046889066696,0.019992198795080185
18710,gradient,0.021959654986858368,0.020089562982320786,0.0018700920045375824
42365,gradient,0.02831398881971836,0.024089232087135315,0.004224756732583046
22742,cma_es,0.016863642260432243,0.016568083316087723,0.00029555894434452057
51384,cma_es,0.04530114680528641,0.037050507962703705,0.008250638842582703
7855,cma_es,0.030599210411310196,0.028560476377606392,0.002038734033703804
42980,cma_es,0.0258324071764946,0.024996623396873474,0.0008357837796211243
38223,cma_es,0.03246248513460159,0.0284886434674263,0.003973841667175293
7427,cma_es,0.023825757205486298,0.023289918899536133,0.0005358383059501648
10297,cma_es,0.05388752743601799,0.04652964323759079,0.0073578841984272
5760,cma_es,0.05106239765882492,0.04235949367284775,0.008702903985977173
49239,cma_es,0.028019079938530922,0.0243011973798275,0.0037178825587034225
15174,cma_es,0.03226247429847717,0.030531499534845352,0.0017309747636318207
12283,cma_es,0.06771423667669296,0.04866189882159233,0.01905233785510063
20512,cma_es,0.026655856519937515,0.023676259443163872,0.0029795970767736435
54228,cma_es,0.03794289752840996,0.03192727267742157,0.006015624850988388
40261,cma_es,0.0253381859511137,0.022316429764032364,0.003021756187081337
54492,cma_es,0.03650945425033569,0.03106164187192917,0.005447812378406525
20958,cma_es,0.04579423740506172,0.0333804152905941,0.01241382211446762
14742,cma_es,0.030043916776776314,0.028460264205932617,0.0015836525708436966
24770,cma_es,0.023289915174245834,0.020515594631433487,0.0027743205428123474
11268,cma_es,0.027651451528072357,0.02659795805811882,0.001053493469953537
24724,cma_es,0.0316719114780426,0.02698161080479622,0.004690300673246384
43744,cma_es,0.020743977278470993,0.020026827231049538,0.0007171500474214554
52252,cma_es,0.03521260991692543,0.033465392887592316,0.0017472170293331146
54893,cma_es,0.04405174404382706,0.03645472601056099,0.0075970180332660675
27835,cma_es,0.029693730175495148,0.026052679866552353,0.003641050308942795
50430,cma_es,0.04070097953081131,0.034436289221048355,0.006264690309762955
48648,cma_es,0.045600421726703644,0.03869131579995155,0.0069091059267520905
16155,cma_es,0.036342546343803406,0.029575850814580917,0.006766695529222488
52146,cma_es,0.03946901857852936,0.033520255237817764,0.005948763340711594
41683,cma_es,0.02642793208360672,0.021490585058927536,0.004937347024679184
19322,cma_es,0.043216001242399216,0.028151094913482666,0.01506490632891655
37991,cma_es,0.027448434382677078,0.02438252605497837,0.0030659083276987076
53849,cma_es,0.03714258596301079,0.03100912645459175,0.006133459508419037
48595,cma_es,0.02193325012922287,0.021062709391117096,0.0008705407381057739
43067,cma_es,0.02533085271716118,0.023495076224207878,0.0018357764929533005
40749,cma_es,0.021261680871248245,0.020160924643278122,0.0011007562279701233
51695,cma_es,0.022465167567133904,0.021928835660219193,0.000536331906914711
34302,cma_es,0.03699508681893349,0.03326796367764473,0.0037271231412887573
39641,cma_es,0.02718247100710869,0.023586027324199677,0.003596443682909012
12901,cma_es,0.043858058750629425,0.038533397018909454,0.005324661731719971
15595,cma_es,0.0661577433347702,0.04631984233856201,0.01983790099620819
19602,cma_es,0.042105529457330704,0.03287332132458687,0.009232208132743835
17288,cma_es,0.0561552494764328,0.03701656311750412,0.01913868635892868
7118,cma_es,0.025600634515285492,0.024034148082137108,0.001566486433148384
13292,cma_es,0.06787911057472229,0.04211036115884781,0.02576874941587448
53007,cma_es,0.023660199716687202,0.022353392094373703,0.0013068076223134995
40350,cma_es,0.034653130918741226,0.02705124020576477,0.007601890712976456
37113,cma_es,0.03243464231491089,0.03056994266808033,0.0018646996468305588
53622,cma_es,0.06151266768574715,0.041816286742687225,0.01969638094305992
18710,cma_es,0.021959654986858368,0.020677223801612854,0.001282431185245514
42365,cma_es,0.02831398881971836,0.02430642396211624,0.0040075648576021194
