epoch,split,total_loss,action_loss,future_loss,spike_loss,action_mse,action_mse_units,steps,samples,lower_is_better
0,train,97.56859928,97.56859673,0,0,97.56859673,raw_action_units,2,9,true
0,val,92.36582438,92.36582729,0,0,92.36582729,raw_action_units,2,9,true
