variant,target_shift,train_mse,eval_mse,continuous_mse,gripper_mse,gripper_sign_accuracy,gripper_open_accuracy,gripper_close_accuracy,gripper_transition_f1,action_trace_correlation,continuous_trace_correlation,gripper_trace_correlation,best_epoch,passed
wam_gru_split_gripper,-1,0.00022818055003881454,0.0002281805209349841,0.00026621061260811985,0.0,1.0,1.0,1.0,1.0,0.9994997382164001,0.9987037181854248,0.9999997615814209,973,False
timestep_embedding_mlp,-1,5.3567575264423795e-08,5.3567575264423795e-08,6.249551631754002e-08,0.0,1.0,1.0,1.0,1.0,0.9999997019767761,0.9999998211860657,0.9999997615814209,127,True
dinov2_latent_mlp,-1,0.0028178945649415255,0.0028178945649415255,0.0032875435426831245,0.0,1.0,1.0,1.0,1.0,0.9937018752098083,0.9831392765045166,0.9999997615814209,976,False
