epoch,split,loss,action_mse,continuous_mse,gripper_mse,gripper_sign_accuracy,gripper_open_accuracy,gripper_close_accuracy,gripper_transition_f1,action_correlation,continuous_correlation,gripper_correlation,grad_norm,action_head_update_norm,pred_variance,target_variance,residual_dim0,pred_var_dim0,target_var_dim0,residual_dim1,pred_var_dim1,target_var_dim1,residual_dim2,pred_var_dim2,target_var_dim2,residual_dim3,pred_var_dim3,target_var_dim3,residual_dim4,pred_var_dim4,target_var_dim4,residual_dim5,pred_var_dim5,target_var_dim5,residual_dim6,pred_var_dim6,target_var_dim6
0,eval,,0.27659422159194946,0.10047104954719543,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3444744646549225,0.4146524965763092,nan,,,0.17277133464813232,0.22385264933109283,0.2340250015258789,0.001191888703033328,0.10770059376955032,0.020162008702754974,0.00021198803733568639,0.06782600283622742,-0.19150994718074799,0.0005721991183236241,0.2797382175922394,-0.057526811957359314,0.0006825611926615238,0.0010034433798864484,-0.0060114325024187565,0.00020482130639720708,0.010597898624837399,0.20454125106334686,0.00017492864571977407,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
1,eval,,0.2603565752506256,0.08152709901332855,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3268369734287262,0.4364432096481323,nan,,,0.13005603849887848,0.22385264933109283,0.09287428110837936,0.004180212505161762,0.10770059376955032,-0.016722677275538445,0.0002474898938089609,0.06782600283622742,0.0551043301820755,0.0022587499115616083,0.2797382175922394,0.12304715067148209,0.0006782659329473972,0.0010034433798864484,-0.020111313089728355,0.00045709151891060174,0.010597898624837399,0.03782007470726967,0.0006143418722786009,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
7,eval,,0.25362735986709595,0.07367636263370514,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3448103666305542,0.5001770853996277,nan,,,0.1398836076259613,0.22385264933109283,-0.043095316737890244,0.048676710575819016,0.10770059376955032,0.0017735721776261926,0.006096100900322199,0.06782600283622742,0.15430422127246857,0.00048337734187953174,0.2797382175922394,0.10255273431539536,0.015495659783482552,0.0010034433798864484,-0.05150790885090828,0.006680507678538561,0.010597898624837399,-0.06633269041776657,0.008092908188700676,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
8,eval,,0.23591625690460205,0.07384670525789261,1.2083333730697632,0.6979166865348816,1.0,0.09375,0.0,0.39236336946487427,0.496338427066803,0.2540002465248108,,,0.14710065722465515,0.22385264933109283,-0.10972075909376144,0.06263957917690277,0.10770059376955032,-0.008659962564706802,0.01111335027962923,0.06782600283622742,0.13931508362293243,0.002049911767244339,0.2797382175922394,-0.08019569516181946,0.012343421578407288,0.0010034433798864484,0.12426062673330307,0.006705411244183779,0.010597898624837399,-0.06855491548776627,0.007746572140604258,0.0008835040498524904,0.6041666865348816,0.12109375,0.8888888955116272
9,eval,,0.16219499707221985,0.07117196917533875,0.7083333134651184,0.8229166865348816,1.0,0.46875,0.0,0.5951728224754333,0.536270260810852,0.608580470085144,,,0.16929543018341064,0.22385264933109283,-0.11309695243835449,0.07454895228147507,0.10770059376955032,0.014263655059039593,0.017570098862051964,0.06782600283622742,0.04521263763308525,0.00601212540641427,0.2797382175922394,-0.15014483034610748,0.007890700362622738,0.0010034433798864484,0.10777690261602402,0.007148870266973972,0.010597898624837399,-0.063425712287426,0.007520541548728943,0.0008835040498524904,0.3541666567325592,0.52734375,0.8888888955116272
12,eval,,0.1556900590658188,0.06358283758163452,0.7083333134651184,0.8229166865348816,0.984375,0.5,0.0,0.6295519471168518,0.6195225715637207,0.598147988319397,,,0.17342978715896606,0.22385264933109283,0.15319286286830902,0.06988082081079483,0.10770059376955032,-0.007735376711934805,0.030430082231760025,0.06782600283622742,0.002312250202521682,0.03302314132452011,0.2797382175922394,0.05502802133560181,0.0013746002223342657,0.0010034433798864484,-0.014106500893831253,0.004159122239798307,0.010597898624837399,0.06294659525156021,0.002861908171325922,0.0008835040498524904,0.3125,0.5828993320465088,0.8888888955116272
14,eval,,0.15190821886062622,0.0591706819832325,0.7083333134651184,0.8229166865348816,0.984375,0.5,0.0,0.6263784766197205,0.6305583119392395,0.598147988319397,,,0.16768625378608704,0.22385264933109283,-0.00491970544680953,0.07128961384296417,0.10770059376955032,-0.028544889762997627,0.023908564820885658,0.06782600283622742,-0.006756480783224106,0.044256795197725296,0.2797382175922394,0.024593492969870567,0.0005059093818999827,0.0010034433798864484,0.017383379861712456,0.0015109828673303127,0.010597898624837399,0.07450389117002487,0.0016411609249189496,0.0008835040498524904,0.3125,0.5828993320465088,0.8888888955116272
15,eval,,0.1516852229833603,0.0589105486869812,0.7083333134651184,0.8229166865348816,0.953125,0.5625,0.0,0.6280974745750427,0.6339709162712097,0.5879747867584229,,,0.17487774789333344,0.22385264933109283,-0.0024206936359405518,0.07190960645675659,0.10770059376955032,0.062049973756074905,0.015595155768096447,0.06782600283622742,-0.006444377359002829,0.045461464673280716,0.2797382175922394,-0.021885693073272705,0.001686680712737143,0.0010034433798864484,0.007609080523252487,0.0018117889994755387,0.010597898624837399,0.003044538199901581,0.002187844133004546,0.0008835040498524904,0.2291666716337204,0.68359375,0.8888888955116272
18,eval,,0.1441200077533722,0.05702890828251839,0.6666666865348816,0.8333333134651184,0.96875,0.5625,0.0,0.6401321291923523,0.6480000019073486,0.6166546940803528,,,0.16407209634780884,0.22385264933109283,0.02014574594795704,0.044943585991859436,0.10770059376955032,-0.03163735941052437,0.012159566394984722,0.06782600283622742,0.011996268294751644,0.03583361953496933,0.2797382175922394,0.022969141602516174,0.0002577391278464347,0.0010034433798864484,0.006613542791455984,0.0025462100747972727,0.010597898624837399,-0.004310052841901779,0.0007965387194417417,0.0008835040498524904,0.25,0.6597222089767456,0.8888888955116272
19,eval,,0.13965511322021484,0.058764293789863586,0.625,0.84375,0.984375,0.5625,0.0,0.6558640003204346,0.6486198306083679,0.6470395922660828,,,0.15570148825645447,0.22385264933109283,0.0693804919719696,0.03657097741961479,0.10770059376955032,-0.00531001528725028,0.013199969194829464,0.06782600283622742,0.07921851426362991,0.02951253391802311,0.2797382175922394,0.026616787537932396,0.0007743494934402406,0.0010034433798864484,0.01328248530626297,0.0029866632539778948,0.010597898624837399,0.040513776242733,0.00095588737167418,0.0008835040498524904,0.2708333432674408,0.6349826455116272,0.8888888955116272
