variant,model_type,param_count,eval_mse,continuous_mse,gripper_mse,gripper_sign_accuracy,passed,best_epoch,error
zero_action,constant,0,0.22659850120544434,nan,nan,nan,False,-1,
mean_action,constant,0,0.19379754577364242,nan,nan,nan,False,-1,
last_action,copy,0,0.013158224168277922,nan,nan,nan,False,-1,
linear_ar,linear,28,0.023591546341776848,0.006260336842387915,0.12757879495620728,0.9583333134651184,False,299,
action_history_gru,gru,256,0.0023999917320907116,0.0027999896556138992,0.0,1.0,False,290,
proprio_only_state,mlp,9,0.03866364434361458,0.038163140416145325,0.0416666679084301,0.9895833134651184,False,297,
proprio_plus_history,gru+mlp,265,0.0021159653551876545,0.0024686260148882866,0.0,1.0,False,270,
full_state_92d_oracle,mlp,92,0.00872616097331047,0.0032360779587179422,0.0416666679084301,0.9895833134651184,False,298,
full_state_plus_history,gru+mlp,348,0.0013358121505007148,0.0015584472566843033,0.0,1.0,False,273,
