epoch,split,action_mse,continuous_loss,gripper_loss,total_loss
0,train,0.0,0.0,0.0,0.0
0,val,0.2277682139759972,0.05107119120657444,0.592712938785553,0.6437841299921274
1,train,0.0,0.0,0.0,0.0
1,val,0.20413758073534286,0.04518098756670952,0.5693933367729187,0.6145743243396282
2,train,0.0,0.0,0.0,0.0
2,val,0.1868210718745277,0.03804140817373991,0.5417894124984741,0.579830820672214
3,train,0.0,0.0,0.0,0.0
3,val,0.16692828564416795,0.03622062969952822,0.516151174902916,0.5523718046024442
4,train,0.0,0.0,0.0,0.0
4,val,0.15883090382530576,0.03359880764037371,0.4756147712469101,0.5092135788872838
5,train,0.0,0.0,0.0,0.0
5,val,0.13341936043330602,0.03134829364717007,0.4281078428030014,0.45945613645017147
6,train,0.0,0.0,0.0,0.0
6,val,0.15246743247622535,0.031061027199029922,0.3639630675315857,0.3950240947306156
7,train,0.0,0.0,0.0,0.0
7,val,0.2188135442279634,0.030264532193541527,0.30079951882362366,0.3310640510171652
8,train,0.0,0.0,0.0,0.0
8,val,0.3781389622461228,0.030415396206080914,0.2593230903148651,0.289738486520946
9,train,0.0,0.0,0.0,0.0
9,val,0.7089815139770508,0.03050333820283413,0.24827655404806137,0.2787798922508955
10,train,0.0,0.0,0.0,0.0
10,val,1.0915984653291249,0.02786477841436863,0.2528253495693207,0.2806901279836893
11,train,0.0,0.0,0.0,0.0
11,val,1.572131565638951,0.02299906127154827,0.25787872076034546,0.28087778203189373
12,train,0.0,0.0,0.0,0.0
12,val,1.7105169296264648,0.022814270108938217,0.2498399168252945,0.2726541869342327
13,train,0.0,0.0,0.0,0.0
13,val,1.5981799534388952,0.022134109400212765,0.23675835877656937,0.25889246817678213
14,train,0.0,0.0,0.0,0.0
14,val,1.437395277477446,0.02026187628507614,0.22490912675857544,0.24517100304365158
15,train,0.0,0.0,0.0,0.0
15,val,1.3162724177042644,0.019075452350080013,0.2172578126192093,0.2363332649692893
16,train,0.0,0.0,0.0,0.0
16,val,1.1038115819295247,0.017963356338441372,0.2109472006559372,0.22891055699437857
17,train,0.0,0.0,0.0,0.0
17,val,1.034615743727911,0.017260659486055374,0.20613206923007965,0.22339272871613503
18,train,0.0,0.0,0.0,0.0
18,val,1.0336233093625022,0.016729471273720264,0.2018790990114212,0.21860857028514147
19,train,0.0,0.0,0.0,0.0
19,val,1.0430353936694918,0.014687492046505213,0.19710685312747955,0.21179434517398477
20,train,0.0,0.0,0.0,0.0
20,val,1.150126684279669,0.014453340321779251,0.1944807693362236,0.20893410965800285
21,train,0.0,0.0,0.0,0.0
21,val,1.2595963251023066,0.014330924022942781,0.1928829587996006,0.20721388282254338
22,train,0.0,0.0,0.0,0.0
22,val,1.34037599109468,0.013475313317030668,0.18822066485881805,0.20169597817584872
23,train,0.0,0.0,0.0,0.0
23,val,1.4283102126348586,0.013515550643205643,0.18507562577724457,0.1985911764204502
24,train,0.0,0.0,0.0,0.0
24,val,1.5291578656151181,0.0133742056787014,0.1832461804151535,0.1966203860938549
25,train,0.0,0.0,0.0,0.0
25,val,1.4711203348068964,0.01232981076464057,0.17726750299334526,0.18959731375798583
26,train,0.0,0.0,0.0,0.0
26,val,1.3343630518232072,0.011873898096382618,0.17063919827342033,0.18251309636980295
27,train,0.0,0.0,0.0,0.0
27,val,1.2767313094366164,0.011856100987643003,0.16666488349437714,0.17852098448202014
28,train,0.0,0.0,0.0,0.0
28,val,1.2555809020996094,0.011129367630928755,0.16352419927716255,0.1746535669080913
29,train,0.0,0.0,0.0,0.0
29,val,1.3123302459716797,0.010684248059988022,0.16059357300400734,0.17127782106399536
30,train,0.0,0.0,0.0,0.0
30,val,1.4108973911830358,0.010657167062163353,0.1573892906308174,0.16804645769298077
31,train,0.0,0.0,0.0,0.0
31,val,1.5587148666381836,0.00958505948074162,0.15490075573325157,0.1644858152139932
32,train,0.0,0.0,0.0,0.0
