epoch,split,action_mse,action_loss,continuous_mse,gripper_mse,mse_h0,mse_h1,mse_h2,mse_h3
0,train,0.34634507825671723,0.3463450720969667,,,0.08863566815853119,0.07495982944965363,0.06699642539024353,0.09482751041650772
0,val,0.21157367033799007,0.21157367257995807,0.10115150362253189,0.8741067051887512,0.03714035451412201,0.03477651998400688,0.04052629694342613,0.04411745443940163
1,train,0.21345944969849745,0.21345945051375856,,,0.09532986581325531,0.07859620451927185,0.08336015790700912,0.08250840753316879
1,val,0.20136419255682764,0.2013641928738736,0.10010096430778503,0.8089436292648315,0.046147145330905914,0.03171917051076889,0.03310536593198776,0.038667961955070496
2,train,0.19726866284402308,0.19726866134937773,,,0.06837526708841324,0.054465699940919876,0.058883484452962875,0.06867145746946335
2,val,0.17839893236711032,0.1783989315971415,0.07917062162111203,0.7737687826156616,0.05753481015563011,0.03356337919831276,0.030609501525759697,0.033247530460357666
3,train,0.17607117858701202,0.17607117745470494,,,0.05977608636021614,0.052277788519859314,0.05071386322379112,0.056491218507289886
3,val,0.1639547753841319,0.16395477934720668,0.0713586884861191,0.7195314168930054,0.03181712329387665,0.01756463572382927,0.024859091266989708,0.042659953236579895
4,train,0.16197221982080523,0.16197221456690036,,,0.05121287330985069,0.04636804014444351,0.046587906777858734,0.054995033890008926
4,val,0.1472800176556712,0.1472800167951178,0.06577120861038566,0.6363328695297241,0.018190672621130943,0.015787798911333084,0.021201912313699722,0.03286488354206085
5,train,0.1441936405958738,0.14419364263402654,,,0.05043657869100571,0.049697816371917725,0.04407842457294464,0.05485597625374794
5,val,0.1285846617446482,0.128584660272649,0.06044674765629073,0.5374120473861694,0.02328517846763134,0.016205718740820885,0.029072845354676247,0.024554777890443802
6,train,0.1268970756182917,0.12689707967195105,,,0.03620472177863121,0.03309743106365204,0.03704865276813507,0.037629418075084686
6,val,0.10857123372040259,0.10857123358452574,0.05670357899119457,0.41977712512016296,0.024655720219016075,0.01799752004444599,0.02302970364689827,0.02388256974518299
7,train,0.1048186803661219,0.10481868177018266,,,0.031829431653022766,0.031428806483745575,0.031215855851769447,0.03864920511841774
7,val,0.08585391580877333,0.08585391677123436,0.053101759714384876,0.28236687183380127,0.018406908959150314,0.015023713000118732,0.017712868750095367,0.022295575588941574
8,train,0.08291200156632166,0.08291200231364433,,,0.022165222093462944,0.02123936265707016,0.029983555898070335,0.03129316866397858
8,val,0.06934747290103993,0.06934747068171805,0.04878195452814301,0.19274058938026428,0.016499429941177368,0.010639251209795475,0.017200618982315063,0.021431555971503258
9,train,0.06945281912852928,0.06945281808680677,,,0.022889306768774986,0.022717323154211044,0.026311231777071953,0.024025848135352135
9,val,0.06483989066266,0.06483988939447606,0.042474076307068266,0.19903475046157837,0.013868426904082298,0.01527681015431881,0.020457416772842407,0.02397615648806095
10,train,0.0640231309328398,0.06402313122723965,,,0.016120821237564087,0.021214935928583145,0.027481822296977043,0.024975286796689034
10,val,0.0591120719909668,0.05911207238727428,0.035191992996260524,0.20263253152370453,0.012539168819785118,0.01614687219262123,0.01928889937698841,0.02547341026365757
11,train,0.05863047950535922,0.058630481679388814,,,0.02675999142229557,0.02620101161301136,0.03905056044459343,0.035029638558626175
11,val,0.051641268570734734,0.05164126758562758,0.03127200082720568,0.17385685443878174,0.010240014642477036,0.01355826761573553,0.015373002737760544,0.024458708241581917
12,train,0.051309947909555176,0.0513099490645084,,,0.016085078939795494,0.01599532552063465,0.014538586139678955,0.022501833736896515
12,val,0.04933934081289181,0.049339340008953785,0.03034600297299524,0.16329938173294067,0.010736276395618916,0.01161966659128666,0.013347288593649864,0.024716179817914963
13,train,0.0494829688028724,0.04948296849714949,,,0.015495475381612778,0.013880884274840355,0.016832483932375908,0.017138829454779625
13,val,0.04937542680549042,0.04937542792647443,0.028783535584807396,0.17292675375938416,0.010456816293299198,0.010237056761980057,0.013756910338997841,0.02216881886124611
14,train,0.049352318320230876,0.04935231955444559,,,0.015228156931698322,0.018171248957514763,0.018874790519475937,0.019122416153550148
14,val,0.04714148530119458,0.047141484916210175,0.02602789574302733,0.1738230139017105,0.010050671175122261,0.009093614295125008,0.013458642177283764,0.020937608554959297
15,train,0.04719614910137327,0.04719614879565036,,,0.014015067368745804,0.014314359985291958,0.017798036336898804,0.023305093869566917
