epoch,split,action_mse,action_loss,continuous_mse,gripper_mse,mse_h0,mse_h1,mse_h2,mse_h3
0,train,0.36214736529759,0.36214737594127655,,,0.07686824351549149,0.08511790633201599,0.10631082206964493,0.0645802840590477
0,val,0.2220734641665504,0.22207347055276236,0.10554951926072438,0.921217143535614,0.048029348254203796,0.04416917636990547,0.04684469476342201,0.06882310658693314
1,train,0.2173102412905012,0.2173102448383967,,,0.0621749609708786,0.0665644034743309,0.06905663013458252,0.06727323681116104
1,val,0.19684478498640515,0.1968447839220365,0.08799893067528804,0.849919855594635,0.027364620938897133,0.035886313766241074,0.05099800229072571,0.051760632544755936
2,train,0.19603098574138822,0.1960309793551763,,,0.06600820273160934,0.061506692320108414,0.05909322202205658,0.05573970079421997
2,val,0.18486596856798446,0.184865968922774,0.07855374567831556,0.8227393627166748,0.036195993423461914,0.0384211428463459,0.038928788155317307,0.044127728790044785
3,train,0.18247927938188827,0.18247927725315094,,,0.054112911224365234,0.05332154035568237,0.05713151395320892,0.0615992397069931
3,val,0.17174996648515975,0.17174996435642242,0.07252651002878945,0.7670905590057373,0.03235269710421562,0.03766930475831032,0.03239378705620766,0.04496784880757332
4,train,0.16974239689963205,0.16974239548047385,,,0.05066656693816185,0.05378422513604164,0.049886684864759445,0.0561918281018734
4,val,0.15747197469075522,0.15747197965780893,0.06655302395423253,0.7029855847358704,0.02613864652812481,0.03492235019803047,0.038760680705308914,0.04273074492812157
5,train,0.15448936961946033,0.15448936820030212,,,0.054798174649477005,0.048454951494932175,0.05001385137438774,0.05454264581203461
5,val,0.1426283149492173,0.14262831707795462,0.06169979584713777,0.6281993985176086,0.02697654254734516,0.029096120968461037,0.03939596936106682,0.043027859181165695
6,train,0.13998412234442575,0.1399841234087944,,,0.043866079300642014,0.03411722555756569,0.0397302471101284,0.050962358713150024
6,val,0.12409931705111549,0.1240993117292722,0.058687860146164894,0.5165680646896362,0.025764016434550285,0.026351207867264748,0.03628774359822273,0.04549442231655121
7,train,0.12189257712591262,0.12189257641633351,,,0.04791077598929405,0.03486916795372963,0.04341854527592659,0.0475202314555645
7,val,0.10417475586845762,0.10417475551366806,0.05615856436391672,0.3922719657421112,0.022960633039474487,0.024207815527915955,0.03205340728163719,0.04145869240164757
8,train,0.10141005686351232,0.10141005863746007,,,0.038603607565164566,0.02957822196185589,0.03021160699427128,0.03292775899171829
8,val,0.08806633665448144,0.08806633700927098,0.05326423173149427,0.29687896370887756,0.01920388452708721,0.024407364428043365,0.02962062694132328,0.03931961953639984
9,train,0.08611257303328741,0.08611257374286652,,,0.023943379521369934,0.020695885643363,0.022516071796417236,0.02397236041724682
9,val,0.08174409468968709,0.08174409468968709,0.04956615475627283,0.274811714887619,0.020397547632455826,0.032011788338422775,0.035455379635095596,0.040519531816244125
10,train,0.0810446682430449,0.08104466895262401,,,0.02564346231520176,0.03840814530849457,0.041694726794958115,0.04140597581863403
10,val,0.07299781129473731,0.07299781093994777,0.04087051213718951,0.2657615840435028,0.02200535126030445,0.02604607678949833,0.03480791300535202,0.03701725974678993
11,train,0.07089761041459583,0.07089760899543762,,,0.014336070977151394,0.021889083087444305,0.026949048042297363,0.03159482404589653
