epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,patch_mse,patch_cosine_error,patch_mean_cosine_error,patch_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
0,train,157.2239075,156.1987152,raw_action_units,1.025195718,1.025195718,7.138343334,"[1.0339928865, 1.0380232334, 1.0126200914, 1.0161465406]","[7.1094431877, 7.2175855637, 7.1019830704, 7.124361515]",0,0,0,[],"[31.07472229, 36.1364364624, 41.0934448242, 47.894115448]","[40.0586166382, 38.0363235474, 38.4227218628, 38.6703796387, 38.4699516296, 40.6505813599, 39.0391616821]",0,156.198713,raw_action_units,1,4,769564,769564,true
0,val,48.88715363,47.92822266,raw_action_units,0.9589317441,0.9589317441,6.953806877,"[0.9708500504, 0.9889930487, 0.9296836257, 0.9462003708]","[6.9501767159, 7.072309494, 6.8782067299, 6.9145312309]",0,0,0,[],"[7.8070526123, 10.1826982498, 13.0521030426, 16.8863677979]","[12.7638158798, 11.4355392456, 11.5365200043, 11.5575904846, 12.0299224854, 12.8112506866, 11.7397518158]",0,47.92822266,raw_action_units,1,4,769564,769564,true
