epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,patch_mse,patch_cosine_error,patch_mean_cosine_error,patch_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
0,train,134.1707001,132.8968811,raw_action_units,1.273824692,1.273824692,136.6814117,"[1.3769676685, 1.2531337738, 1.0254329443, 1.4397642612]","[105.3894348145, 124.1006011963, 144.7326507568, 172.5029449463]",0,0,0,[],"[12.3375434875, 15.3635902405, 18.1001911163, 20.647108078]","[16.5304718018, 15.779258728, 16.4311676025, 16.2480068207, 16.2717456818, 17.3460769653, 17.6780281067]",0,132.8968767,raw_action_units,1,8,286780,286780,true
0,val,87.29575348,86.12703705,raw_action_units,1.168717265,1.168717265,89.14213562,"[1.267083168, 1.144072175, 0.9077224135, 1.3559911251]","[63.4484329224, 78.7438430786, 95.8416900635, 118.5345840454]",0,0,0,[],"[7.4071855545, 9.6545410156, 11.924823761, 14.0769691467]","[10.703163147, 10.2976570129, 10.6441116333, 10.5303964615, 10.5283536911, 11.2334060669, 11.4240722656]",0,86.12704032,raw_action_units,1,8,286780,286780,true
