variant,rotation_weight,continuous_normalized_mse,per_dim_mse
baseline_no_weight,1.0,0.020110782235860825,"[0.002390344627201557, 0.0020150516647845507, 0.002796980319544673, 2.370259608142078e-05, 0.00016638463421259075, 1.2201577192172408e-05]"
rotation_weight_2.0,2.0,0.019285541027784348,"[0.002174735302105546, 0.002623060019686818, 0.0031772730872035027, 1.659181907598395e-05, 0.00013581663370132446, 9.31453087105183e-06]"
rotation_weight_5.0,5.0,0.016819003969430923,"[0.002226500539109111, 0.0022973220329731703, 0.004560358356684446, 1.0685183042369317e-05, 7.579946395708248e-05, 6.4196224229817744e-06]"
rotation_weight_10.0,10.0,0.020079422742128372,"[0.0023772199638187885, 0.002994512440636754, 0.0058850874193012714, 1.2450999747670721e-05, 7.5929106969852e-05, 6.684633262921125e-06]"
separate_pos_rot_heads,1.0,0.015383115969598293,"[0.001353115658275783, 0.0009140802430920303, 0.0013357935240492225, 2.8016251235385425e-05, 0.00014789559645578265, 1.3847144145984203e-05]"
