mode,horizon,continuous_normalized_mse,continuous_raw_mae,gripper_sign_accuracy,delta_rot_x_mse,variant,error_growth_slope,max_error,action_drift_norm
teacher_forced_h1,full,0.06581161171197891,0.016232799738645554,0.9833333492279053,0.0002609762013889849,diagnostic_regularization,-0.002293618628755212,0.24593698978424072,0.036174312233924866
autoregressive_open_loop,1,0.04736420512199402,0.022265926003456116,1.0,0.00019328070629853755,diagnostic_regularization,,,
autoregressive_open_loop,5,0.4062064588069916,0.03977589309215546,1.0,0.0018473335076123476,diagnostic_regularization,,,
autoregressive_open_loop,10,1.340942144393921,0.0469508022069931,1.0,0.00625253189355135,diagnostic_regularization,,,
autoregressive_open_loop,20,2.7008280754089355,0.08140789717435837,1.0,0.01234909612685442,diagnostic_regularization,,,
autoregressive_open_loop,40,3.264622449874878,0.10551999509334564,1.0,0.01374080777168274,diagnostic_regularization,,,
autoregressive_open_loop,60,3.877267360687256,0.13975277543067932,1.0,0.010058981366455555,diagnostic_regularization,,,
autoregressive_open_loop,full,3.877267360687256,0.13975277543067932,1.0,0.010058981366455555,diagnostic_regularization,0.06179407984018326,7.313994884490967,0.232068732380867
corrupted_history_noise_0.1,10,1.2832145690917969,0.04814041778445244,1.0,0.0058916532434523106,diagnostic_regularization,0.3604051172733307,3.388410806655884,
corrupted_history_noise_0.5,10,1.036924123764038,0.04224303737282753,1.0,0.004930230788886547,diagnostic_regularization,0.32926368713378906,3.0720090866088867,
corrupted_history_noise_1.0,10,1.8100429773330688,0.07805003970861435,1.0,0.007776937447488308,diagnostic_regularization,0.5209017395973206,4.789445400238037,
corrupted_history_noise_2.0,10,0.721538782119751,0.09135513752698898,1.0,0.002074464224278927,diagnostic_regularization,0.09890805184841156,1.4754713773727417,
teacher_forced_h1,1,0.023608585819602013,0.021017052233219147,1.0,2.726398406593944e-06,offline_multistep_loss,,,
teacher_forced_h1,5,0.013693098910152912,0.014160847291350365,1.0,2.0663233954110183e-05,offline_multistep_loss,,,
teacher_forced_h1,10,0.010827025398612022,0.012045160867273808,1.0,1.2457099728635512e-05,offline_multistep_loss,,,
teacher_forced_h1,20,0.017925679683685303,0.01362953707575798,1.0,2.0320661860750988e-05,offline_multistep_loss,,,
teacher_forced_h1,40,0.015226035378873348,0.01398056373000145,0.9750000238418579,1.6688125469954684e-05,offline_multistep_loss,,,
teacher_forced_h1,60,0.015229389071464539,0.013930396176874638,0.9833333492279053,1.4542935787176248e-05,offline_multistep_loss,,,
teacher_forced_h1,full,0.015229389071464539,0.013930396176874638,0.9833333492279053,1.4542935787176248e-05,offline_multistep_loss,-5.813531060994137e-07,0.1160881444811821,0.034165702760219574
autoregressive_open_loop,1,0.023608585819602013,0.021017052233219147,1.0,2.726398406593944e-06,offline_multistep_loss,,,
autoregressive_open_loop,5,0.13482233881950378,0.03502429649233818,1.0,0.00013169666635803878,offline_multistep_loss,,,
autoregressive_open_loop,10,0.21641848981380463,0.03785746544599533,1.0,0.00016458166646771133,offline_multistep_loss,,,
autoregressive_open_loop,20,0.592627763748169,0.05028051510453224,1.0,0.00031122739892452955,offline_multistep_loss,,,
autoregressive_open_loop,40,0.5720484256744385,0.06541544944047928,0.7749999761581421,0.0008827943238429725,offline_multistep_loss,,,
autoregressive_open_loop,60,1.8921138048171997,0.11871875822544098,0.5166666507720947,0.004112843424081802,offline_multistep_loss,,,
autoregressive_open_loop,full,1.8921138048171997,0.11871875822544098,0.5166666507720947,0.004112843424081802,offline_multistep_loss,0.10232271254062653,7.775892734527588,0.9987008571624756
corrupted_history_noise_0.1,10,0.21718855202198029,0.037269625812768936,1.0,0.00016589794540777802,offline_multistep_loss,0.03348978981375694,0.3375738859176636,
corrupted_history_noise_0.5,10,0.31939879059791565,0.04035073518753052,1.0,0.00024037796538323164,offline_multistep_loss,0.05407542735338211,0.5274710655212402,
corrupted_history_noise_1.0,10,0.25776612758636475,0.039213038980960846,1.0,0.00016728125046938658,offline_multistep_loss,0.04222920536994934,0.42610254883766174,
corrupted_history_noise_2.0,10,0.8053209781646729,0.096431665122509,0.20000000298023224,0.001706048846244812,offline_multistep_loss,0.1616252362728119,1.3915613889694214,
