variant,delta_rot_x_mse,continuous_normalized_mse_full,error_growth_slope,max_error
baseline,0.0032116579823195934,8.858384132385254,0.5655626654624939,36.157222747802734
history_noise_aug,0.0008156358380801976,0.9878094792366028,0.05211978405714035,4.242606163024902
history_dropout_aug,0.0012131697731092572,1.4627957344055176,0.08685094863176346,5.637514114379883
diagnostic_regularization,0.010058981366455555,3.877267360687256,0.06179407984018326,7.313994884490967
offline_multistep_loss,0.004112843424081802,1.8921138048171997,0.10232271254062653,7.775892734527588
