mode,horizon,continuous_normalized_mse,continuous_raw_mae,gripper_sign_accuracy,per_dim_mse,delta_rot_x_mse,val_demo,train_demo,variant,error_growth_slope,max_error,action_drift_norm
autoregressive_open_loop,40,5.633186340332031,0.2691498398780823,0.22499999403953552,"[0.7316359281539917, 0.023178469389677048, 0.6408697962760925, 0.019696760922670364, 0.006555383559316397, 0.0020200551953166723]",0.019696760922670364,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_1,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,40,5.633186340332031,0.2691498398780823,0.22499999403953552,"[0.7316359281539917, 0.023178469389677048, 0.6408697962760925, 0.019696760922670364, 0.006555383559316397, 0.0020200551953166723]",0.019696760922670364,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_1,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,full,5.633186340332031,0.2691498398780823,0.22499999403953552,"[0.7316359281539917, 0.023178469389677048, 0.6408697962760925, 0.019696760922670364, 0.006555383559316397, 0.0020200551953166723]",0.019696760922670364,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_1,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.19208675622940063,9.232751846313477,1.742736577987671
corrupted_history_noise_0.1,10,2.273926019668579,0.07270525395870209,0.8999999761581421,"[0.028093695640563965, 0.013736764900386333, 0.004326527006924152, 0.00871349684894085, 0.000363832717994228, 0.003518126904964447]",0.00871349684894085,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_1,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.5647470951080322,5.106424808502197,
corrupted_history_noise_0.5,10,0.43378734588623047,0.06594648212194443,0.0,"[0.05024520680308342, 0.008700944483280182, 0.006947228219360113, 0.0012188224354758859, 0.00029708369402214885, 0.000571183511056006]",0.0012188224354758859,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_1,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.0670771598815918,0.817282497882843,
corrupted_history_noise_1.0,10,0.45074981451034546,0.06122368201613426,0.0,"[0.03817356377840042, 0.007328423205763102, 0.003066267119720578, 0.0011905173305422068, 0.0012536474969238043, 0.000746884208638221]",0.0011905173305422068,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_1,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.06149018555879593,0.8636333346366882,
corrupted_history_noise_2.0,10,1.7301771640777588,0.07926458865404129,1.0,"[0.028707250952720642, 0.012047430500388145, 0.015450079925358295, 0.0032002341467887163, 0.00024765371927060187, 0.005919850431382656]",0.0032002341467887163,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_1,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.3486645221710205,3.2302801609039307,
teacher_forced_h1,1,0.09709763526916504,0.039264775812625885,1.0,"[0.011033930815756321, 0.004417648538947105, 0.0010929894633591175, 0.00022436981089413166, 1.4958662177377846e-05, 0.0001481998770032078]",0.00022436981089413166,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,5,0.05791235715150833,0.031452879309654236,1.0,"[0.006654913537204266, 0.006672253366559744, 0.000746147008612752, 8.547183097107336e-05, 1.1504931535455398e-05, 7.651818305021152e-05]",8.547183097107336e-05,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,10,0.06111522391438484,0.027796028181910515,1.0,"[0.0034271106123924255, 0.00418753270059824, 0.002730348613113165, 8.48131749080494e-05, 1.0115612894878723e-05, 0.00015308408183045685]",8.48131749080494e-05,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,20,0.07674335688352585,0.03409479930996895,1.0,"[0.008798704482614994, 0.0036094989627599716, 0.00637831399217248, 0.0001401612680638209, 4.527810961008072e-05, 0.0001289361243834719]",0.0001401612680638209,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,40,0.06790285557508469,0.027120059356093407,0.949999988079071,"[0.0050852312706410885, 0.0022884125355631113, 0.0047453902661800385, 0.00017990956257563084, 0.00014274234126787633, 9.022215817822143e-05]",0.00017990956257563084,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,40,0.06790285557508469,0.027120059356093407,0.949999988079071,"[0.0050852312706410885, 0.0022884125355631113, 0.0047453902661800385, 0.00017990956257563084, 0.00014274234126787633, 9.022215817822143e-05]",0.00017990956257563084,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,full,0.06790285557508469,0.027120059356093407,0.949999988079071,"[0.0050852312706410885, 0.0022884125355631113, 0.0047453902661800385, 0.00017990956257563084, 0.00014274234126787633, 9.022215817822143e-05]",0.00017990956257563084,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,-0.0007433936116285622,0.3085108697414398,0.10230793058872223
autoregressive_open_loop,1,0.09709763526916504,0.039264775812625885,1.0,"[0.011033930815756321, 0.004417648538947105, 0.0010929894633591175, 0.00022436981089413166, 1.4958662177377846e-05, 0.0001481998770032078]",0.00022436981089413166,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,5,0.3926059305667877,0.10381811112165451,1.0,"[0.06525781005620956, 0.06850452721118927, 0.012319005094468594, 0.00044796167640015483, 0.0002161087904823944, 9.24449777812697e-05]",0.00044796167640015483,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,10,0.9440810084342957,0.13180314004421234,1.0,"[0.0443420372903347, 0.10641837120056152, 0.06315791606903076, 0.0027115046977996826, 0.0003990323166362941, 0.0003677366767078638]",0.0027115046977996826,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,20,3.3228297233581543,0.21470355987548828,1.0,"[0.2510300576686859, 0.05917692929506302, 0.42361918091773987, 0.010924620553851128, 0.00030253379372879863, 0.0030211415141820908]",0.010924620553851128,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
