variant,horizon,continuous_normalized_mse,gripper_sign_accuracy
baseline,1,0.012331337668001652,1.0
baseline,5,0.05376945063471794,1.0
baseline,10,0.15133175253868103,1.0
baseline,20,0.3875195384025574,1.0
baseline,40,1.8962433338165283,0.7749999761581421
baseline,60,8.858384132385254,0.5166666507720947
baseline,full,8.858384132385254,0.5166666507720947
history_noise_aug,1,0.0032900406513363123,1.0
history_noise_aug,5,0.014102586545050144,1.0
history_noise_aug,10,0.02750115469098091,1.0
history_noise_aug,20,0.13317057490348816,1.0
history_noise_aug,40,0.45805057883262634,0.7749999761581421
history_noise_aug,60,0.9878094792366028,0.5166666507720947
history_noise_aug,full,0.9878094792366028,0.5166666507720947
history_dropout_aug,1,0.009730552323162556,1.0
history_dropout_aug,5,0.048355262726545334,1.0
history_dropout_aug,10,0.11293461918830872,1.0
history_dropout_aug,20,0.20098267495632172,1.0
history_dropout_aug,40,0.3676668107509613,0.7749999761581421
history_dropout_aug,60,1.4627957344055176,0.5166666507720947
history_dropout_aug,full,1.4627957344055176,0.5166666507720947
diagnostic_regularization,1,0.04736420512199402,1.0
diagnostic_regularization,5,0.4062064588069916,1.0
diagnostic_regularization,10,1.340942144393921,1.0
diagnostic_regularization,20,2.7008280754089355,1.0
diagnostic_regularization,40,3.264622449874878,1.0
diagnostic_regularization,60,3.877267360687256,1.0
diagnostic_regularization,full,3.877267360687256,1.0
offline_multistep_loss,1,0.023608585819602013,1.0
offline_multistep_loss,5,0.13482233881950378,1.0
offline_multistep_loss,10,0.21641848981380463,1.0
offline_multistep_loss,20,0.592627763748169,1.0
offline_multistep_loss,40,0.5720484256744385,0.7749999761581421
offline_multistep_loss,60,1.8921138048171997,0.5166666507720947
offline_multistep_loss,full,1.8921138048171997,0.5166666507720947
