time_index,mse,continuous_mse,gripper_mse
3,0.0027576738502830267,0.00086464878404513,0.014115825295448303
4,0.0009456647676415741,0.00034997801412828267,0.004519784823060036
5,0.001713261124677956,0.0007323838653974235,0.00759852584451437
6,0.001573269604705274,0.0004581525281537324,0.008263973519206047
7,0.0015166121302172542,0.0006827255710959435,0.006519930902868509
8,0.0012909462675452232,0.0006212922744452953,0.005308870226144791
9,0.0010227373568341136,0.00034600147046148777,0.005083153024315834
10,0.0011312866117805243,0.00046727442531846464,0.005115359555929899
11,0.0015949836233630776,0.0007413046550936997,0.006717056967318058
12,0.0017895210767164826,0.0006615093443542719,0.008557591587305069
13,0.002195572480559349,0.000582391454372555,0.01187465712428093
14,0.0018355558859184384,0.0005013563204556704,0.009840752929449081
15,0.000692861620336771,0.0005243713967502117,0.0017038027290254831
16,0.0008607806521467865,0.0005919905961491168,0.002473521512001753
17,0.0012187679531052709,0.0006100940518081188,0.004870811942964792
18,0.0032462275121361017,0.0007890036213211715,0.017989574000239372
19,0.0025787323247641325,0.0006200682837516069,0.01433071680366993
20,0.0004224210570100695,0.00023677181161474437,0.0015363164711743593
21,0.000515329244080931,0.0003349874459672719,0.0015973797999322414
22,0.0009148161625489593,0.00017740669136401266,0.005339272320270538
23,0.0006783146527595818,0.00027514301473274827,0.003097343724220991
24,0.0013130727456882596,0.0008050770848058164,0.004361047875136137
25,0.0027850314509123564,0.001285928301513195,0.011779652908444405
26,0.0013202134286984801,0.0011165841715410352,0.0025419890880584717
27,0.002773993881419301,0.0009108615922741592,0.013952787965536118
28,0.0030576421413570642,0.000551464210730046,0.018094709143042564
29,0.006002848036587238,0.0013067183317616582,0.03417963162064552
30,0.026877468451857567,0.0017269154777750373,0.17778077721595764
31,0.04770583659410477,0.0013142995303496718,0.32605504989624023
32,0.035344574600458145,0.0011898437514901161,0.24027295410633087
33,0.035975486040115356,0.00039034595829434693,0.24948634207248688
34,0.028296789154410362,0.001336170476861298,0.19006048142910004
35,0.001823090948164463,0.0005297855823300779,0.009582923725247383
36,0.0026512492913752794,0.00042632827535271645,0.01600077375769615
37,0.000442297023255378,0.0004087085835635662,0.0006438280688598752
38,0.0008696625009179115,0.00039989862125366926,0.003688245313242078
39,0.001297112787142396,0.0005784777458757162,0.005608922801911831
40,0.001829175860621035,0.0010955536272376776,0.006230909377336502
41,0.001881179166957736,0.0011136328103020787,0.006486457772552967
42,0.0011896347859874368,0.000655720301438123,0.004393121227622032
43,0.0008855315973050892,0.0005807852139696479,0.0027140099555253983
44,0.0007119614747352898,0.0005122938309796154,0.0019099665805697441
45,0.0005974328378215432,0.0005556105170398951,0.0008483671117573977
46,0.000747356447391212,0.0007403239724226296,0.0007895504822954535
47,0.0007726693875156343,0.0007580603123642504,0.0008603233145549893
48,0.0008907716837711632,0.0007731323130428791,0.0015966077335178852
49,0.0010539127979427576,0.0006621701177209616,0.0034043695777654648
50,0.0021007165778428316,0.0009772928897291422,0.008841260336339474
51,0.0015231097349897027,0.0009109742823056877,0.005195923149585724
52,0.0010823783231899142,0.0008791101281531155,0.0023019874934107065
53,0.0008848789148032665,0.0006524038035422564,0.0022797288838773966
54,0.0010058138286694884,0.0007082124357111752,0.0027914217207580805
55,0.0009204501402564347,0.001044115866534412,0.0001784555788617581
56,0.0007178145460784435,0.0007022934150882065,0.0008109409827739
57,0.0012586788507178426,0.0008423334802500904,0.003756751772016287
58,0.0011589282657951117,0.0008079418330453336,0.0032648458145558834
59,0.0009353561326861382,0.0005674154963344336,0.0031430001836270094
60,0.0025036383885890245,0.0026473095640540123,0.001641611335799098
61,0.0022387949284166098,0.002108304761350155,0.0030217356979846954
62,0.001310110790655017,0.001141285290941596,0.002323062624782324
63,0.0017455148044973612,0.0016414336860179901,0.0023700008168816566
64,0.002288270741701126,0.0022231515031307936,0.002678987104445696
65,0.0023944892454892397,0.001700915046967566,0.006555934436619282
66,0.0018850381020456553,0.0010323476744815707,0.00700118113309145
67,0.0008212517132051289,0.0004580712702590972,0.0030003341380506754
68,0.0007455495069734752,0.0006655523902736604,0.0012255323817953467
69,0.0010160080855712295,0.0007945822435431182,0.002344563603401184
70,0.0017609476344659925,0.0013578293146565557,0.004179657436907291
71,0.0012222275836393237,0.0010023709619417787,0.0025413664989173412
72,0.0005806794506497681,0.00048396477359347045,0.0011609672801569104
73,0.0011794118909165263,0.0007271668873727322,0.0038928817957639694
74,0.0009140968322753906,0.000619643775280565,0.002680815290659666
75,0.0011073816567659378,0.00042686398955993354,0.005190487485378981
76,0.001415517064742744,0.000501518661621958,0.006899506784975529
77,0.0005363397067412734,0.00046146276872605085,0.0009856014512479305
78,0.0009874950628727674,0.00031323530129157007,0.005033053457736969
79,0.0006942738546058536,0.0005623199976980686,0.001485997112467885
80,0.0008148843771778047,0.0006958394660614431,0.0015291539020836353
81,0.001416392857208848,0.0009048075880855322,0.004485905170440674
82,0.0010427746456116438,0.0005385996773838997,0.0040678237564861774
83,0.0011316622840240598,0.001175065990537405,0.0008712408016435802
84,0.0009324343991465867,0.0008392482995986938,0.0014915509382262826
85,0.0007771640666760504,0.0007168290321715176,0.0011391743319109082
86,0.0009868750348687172,0.0009075101115740836,0.001463065156713128
87,0.002813153201714158,0.0013548076385632157,0.011563227511942387
88,0.0022167053539305925,0.0006087852525524795,0.011864224448800087
89,0.0026179379783570766,0.0006564204231835902,0.014387043192982674
90,0.0033909857738763094,0.0008834783802740276,0.01843602955341339
91,0.0018595788860693574,0.0010270698694512248,0.0068546319380402565
92,0.0021419983822852373,0.0007907754625193775,0.010249336250126362
93,0.006487682461738586,0.000979204778559506,0.03953854739665985
94,0.011567899025976658,0.0012387032620608807,0.07354307174682617
95,0.05438161641359329,0.000580937194172293,0.37718576192855835
96,0.04157102108001709,0.0013577790232375264,0.282850444316864
97,0.029835287481546402,0.0003019853902515024,0.20703507959842682
98,0.022934455424547195,0.0009790681069716811,0.15466679632663727
