epoch,split,total_loss,patch_cosine_loss,action_loss,patch_mse,patch_cosine_error,patch_mean_cosine_error,patch_cosine_error_by_horizon,patch_mse_by_horizon,action_mse,action_mse_by_horizon,steps,samples
18,val,0.999840,0.999840,0.000000,1.110644,0.999840,0.987872,"[0.999681830406189, 0.9999973177909851]","[1.0918974876403809, 1.129390001296997]",0.000000,[],1,8
19,train,0.993501,0.993501,0.000000,1.094247,0.993501,0.940845,"[0.9936573505401611, 0.9933445453643799]","[1.0816712379455566, 1.1068227291107178]",0.000000,[],1,24
19,val,0.999809,0.999809,0.000000,1.109721,0.999809,0.987305,"[0.9996576905250549, 0.9999607801437378]","[1.0911250114440918, 1.1283164024353027]",0.000000,[],1,8
20,train,0.992704,0.992704,0.000000,1.093131,0.992704,0.935104,"[0.9925127029418945, 0.9928946495056152]","[1.0803781747817993, 1.1058845520019531]",0.000000,[],1,24
20,val,0.999781,0.999781,0.000000,1.108662,0.999781,0.986753,"[0.9996325969696045, 0.9999290108680725]","[1.0902397632598877, 1.1270833015441895]",0.000000,[],1,8
21,train,0.992473,0.992473,0.000000,1.092248,0.992473,0.928806,"[0.9924995303153992, 0.992445707321167]","[1.0799436569213867, 1.1045526266098022]",0.000000,[],1,24
21,val,0.999754,0.999754,0.000000,1.107501,0.999754,0.986192,"[0.9996064901351929, 0.9999018907546997]","[1.0892757177352905, 1.1257259845733643]",0.000000,[],1,8
22,train,0.991562,0.991562,0.000000,1.090783,0.991562,0.922931,"[0.9913139343261719, 0.9918100833892822]","[1.0784884691238403, 1.1030770540237427]",0.000000,[],1,24
22,val,0.999731,0.999731,0.000000,1.106193,0.999731,0.985676,"[0.9995784163475037, 0.9998828768730164]","[1.0881874561309814, 1.1241984367370605]",0.000000,[],1,8
23,train,0.990840,0.990840,0.000000,1.089534,0.990840,0.916797,"[0.9903804659843445, 0.9912988543510437]","[1.0773756504058838, 1.1016919612884521]",0.000000,[],1,24
23,val,0.999704,0.999704,0.000000,1.104720,0.999704,0.985161,"[0.9995440244674683, 0.9998646378517151]","[1.086961269378662, 1.1224790811538696]",0.000000,[],1,8
24,train,0.990276,0.990276,0.000000,1.087941,0.990276,0.910036,"[0.9901086688041687, 0.9904430508613586]","[1.0762970447540283, 1.0995855331420898]",0.000000,[],1,24
24,val,0.999682,0.999682,0.000000,1.103117,0.999682,0.984708,"[0.9995156526565552, 0.9998492002487183]","[1.0856328010559082, 1.120600700378418]",0.000000,[],1,8
25,train,0.989542,0.989542,0.000000,1.086405,0.989542,0.902919,"[0.9891484379768372, 0.9899361729621887]","[1.0749456882476807, 1.0978643894195557]",0.000000,[],1,24
25,val,0.999665,0.999665,0.000000,1.101404,0.999665,0.984332,"[0.9994950294494629, 0.999834418296814]","[1.0842232704162598, 1.1185839176177979]",0.000000,[],1,8
26,train,0.988902,0.988902,0.000000,1.084492,0.988902,0.895824,"[0.9887825846672058, 0.9890221953392029]","[1.073498010635376, 1.0954859256744385]",0.000000,[],1,24
26,val,0.999649,0.999649,0.000000,1.099591,0.999649,0.984027,"[0.9994755983352661, 0.9998217225074768]","[1.0827429294586182, 1.1164391040802002]",0.000000,[],1,8
27,train,0.987754,0.987754,0.000000,1.082382,0.987754,0.889270,"[0.9870271682739258, 0.9884808659553528]","[1.0713680982589722, 1.093395709991455]",0.000000,[],1,24
27,val,0.999640,0.999640,0.000000,1.097708,0.999640,0.983803,"[0.9994633197784424, 0.9998162984848022]","[1.0812106132507324, 1.1142045259475708]",0.000000,[],1,8
28,train,0.987427,0.987427,0.000000,1.080558,0.987427,0.881993,"[0.98701411485672, 0.9878395199775696]","[1.070106029510498, 1.0910106897354126]",0.000000,[],1,24
28,val,0.999640,0.999640,0.000000,1.095764,0.999640,0.983713,"[0.9994601011276245, 0.9998199939727783]","[1.079635500907898, 1.1118922233581543]",0.000000,[],1,8
29,train,0.986075,0.986075,0.000000,1.078030,0.986075,0.874117,"[0.9858186841011047, 0.9863318800926208]","[1.0680230855941772, 1.0880372524261475]",0.000000,[],1,24
29,val,0.999648,0.999648,0.000000,1.093835,0.999648,0.983728,"[0.9994615316390991, 0.9998336434364319]","[1.0780844688415527, 1.1095857620239258]",0.000000,[],1,8
30,train,0.985226,0.985226,0.000000,1.075749,0.985226,0.866422,"[0.9850122332572937, 0.9854399561882019]","[1.066232442855835, 1.0852662324905396]",0.000000,[],1,24
30,val,0.999657,0.999657,0.000000,1.091875,0.999657,0.983848,"[0.9994600415229797, 0.999853789806366]","[1.0765180587768555, 1.1072323322296143]",0.000000,[],1,8
31,train,0.984293,0.984293,0.000000,1.073559,0.984293,0.858197,"[0.9838230013847351, 0.9847635626792908]","[1.064247965812683, 1.0828709602355957]",0.000000,[],1,24
31,val,0.999672,0.999672,0.000000,1.089966,0.999672,0.983978,"[0.9994613528251648, 0.999882698059082]","[1.0750102996826172, 1.1049226522445679]",0.000000,[],1,8
