model,mode,horizon,continuous_normalized_mse,continuous_raw_mae,gripper_sign_accuracy,error_growth_slope,max_error,delta_rot_x_mse,action_drift_norm
last_action,teacher_forced_h1,val_split,0.036254312843084335,0.024056918919086456,0.9791666865348816,,,,
direct_action_action_history_gru,teacher_forced_h1,val_split,0.03140413388609886,0.02332349307835102,0.96875,,,,
residual_action_action_history_gru,teacher_forced_h1,val_split,0.01424364373087883,0.014186950400471687,0.9791666865348816,,,,
residual_action_full_state_plus_history,teacher_forced_h1,val_split,0.012664121575653553,0.014012164436280727,0.9791666865348816,,,,
residual_action_full_state_plus_history_separate_heads,teacher_forced_h1,val_split,0.013017797842621803,0.01563403196632862,0.9791666865348816,,,,
last_action,autoregressive_open_loop,1,0.04311244562268257,0.0312500037252903,1.0,,,,
last_action,autoregressive_open_loop,5,0.13915380835533142,0.053357142955064774,1.0,,,,
last_action,autoregressive_open_loop,10,0.177061066031456,0.07737500220537186,1.0,,,,
last_action,autoregressive_open_loop,20,0.6645084619522095,0.1271696537733078,1.0,,,,
last_action,autoregressive_open_loop,40,0.8407895565032959,0.16839508712291718,0.7749999761581421,,,,
last_action,autoregressive_open_loop,60,0.8604430556297302,0.17680951952934265,0.5166666507720947,,,,
last_action,autoregressive_open_loop,full,0.8604430556297302,0.17680951952934265,0.5166666507720947,0.009614371694624424,2.40403151512146,,
direct_action_action_history_gru,teacher_forced_h1,1,0.05072780326008797,0.03024199791252613,1.0,,,0.00013402879994828254,
direct_action_action_history_gru,teacher_forced_h1,5,0.02237742207944393,0.024784140288829803,1.0,,,4.90951570100151e-05,
direct_action_action_history_gru,teacher_forced_h1,10,0.01573270745575428,0.020993055775761604,1.0,,,2.8868516892543994e-05,
direct_action_action_history_gru,teacher_forced_h1,20,0.029169220477342606,0.022015683352947235,1.0,,,3.0106224585324526e-05,
direct_action_action_history_gru,teacher_forced_h1,40,0.027456900104880333,0.023417605087161064,0.949999988079071,,,2.5866402211249806e-05,
direct_action_action_history_gru,teacher_forced_h1,60,0.02456831745803356,0.022630827501416206,0.9666666388511658,,,2.1700199795304798e-05,
direct_action_action_history_gru,teacher_forced_h1,full,0.02456831745803356,0.022630827501416206,0.9666666388511658,-0.0001045386161422357,0.07214668393135071,2.1700199795304798e-05,0.06731266528367996
direct_action_action_history_gru,autoregressive_open_loop,1,0.05072780326008797,0.03024199791252613,1.0,,,0.00013402879994828254,
direct_action_action_history_gru,autoregressive_open_loop,5,0.04545820876955986,0.03440742939710617,1.0,,,4.979126970283687e-05,
direct_action_action_history_gru,autoregressive_open_loop,10,0.044493667781353,0.03145740553736687,1.0,,,7.956706394907087e-05,
direct_action_action_history_gru,autoregressive_open_loop,20,0.15415582060813904,0.03875098004937172,1.0,,,0.0002796842309180647,
direct_action_action_history_gru,autoregressive_open_loop,40,0.22912375628948212,0.06651259958744049,0.7749999761581421,,,0.0001879883202491328,
direct_action_action_history_gru,autoregressive_open_loop,60,0.7703102231025696,0.14741577208042145,0.5166666507720947,,,0.00016951288853306323,
direct_action_action_history_gru,autoregressive_open_loop,full,0.7703102231025696,0.14741577208042145,0.5166666507720947,0.04479203000664711,2.9849472045898438,0.00016951288853306323,1.0528013706207275
direct_action_action_history_gru,corrupted_history_noise_0.1,10,0.04471830278635025,0.031420350074768066,1.0,0.0016522537916898727,0.08913043886423111,8.137582335621119e-05,
direct_action_action_history_gru,corrupted_history_noise_0.5,10,0.05799595266580582,0.03170007839798927,1.0,-0.0053908852860331535,0.11352947354316711,0.00013217069499660283,
direct_action_action_history_gru,corrupted_history_noise_1.0,10,0.08135883510112762,0.02974933758378029,1.0,-0.014115318655967712,0.16528825461864471,0.0002116223331540823,
direct_action_action_history_gru,corrupted_history_noise_2.0,10,0.07458560168743134,0.030089151114225388,1.0,0.006818116642534733,0.14609205722808838,0.0002513772342354059,
residual_action_action_history_gru,teacher_forced_h1,1,0.012331337668001652,0.019605522975325584,1.0,,,2.6610514396452345e-06,
residual_action_action_history_gru,teacher_forced_h1,5,0.009605594910681248,0.012883868999779224,1.0,,,1.4373766134667676e-05,
residual_action_action_history_gru,teacher_forced_h1,10,0.014367380179464817,0.011412665247917175,1.0,,,1.0278879926772788e-05,
residual_action_action_history_gru,teacher_forced_h1,20,0.026014914736151695,0.01415331196039915,1.0,,,1.9158831491949968e-05,
residual_action_action_history_gru,teacher_forced_h1,40,0.020080463960766792,0.0137821389362216,0.9750000238418579,,,1.7160093193524517e-05,
residual_action_action_history_gru,teacher_forced_h1,60,0.016582926735281944,0.013583971187472343,0.9833333492279053,,,1.782060462574009e-05,
residual_action_action_history_gru,teacher_forced_h1,full,0.016582926735281944,0.013583971187472343,0.9833333492279053,-0.00031818589195609093,0.061315566301345825,1.782060462574009e-05,0.03405353054404259
residual_action_action_history_gru,autoregressive_open_loop,1,0.012331337668001652,0.019605522975325584,1.0,,,2.6610514396452345e-06,
residual_action_action_history_gru,autoregressive_open_loop,5,0.05376945063471794,0.03213697299361229,1.0,,,7.388267840724438e-05,
residual_action_action_history_gru,autoregressive_open_loop,10,0.15133175253868103,0.02742348425090313,1.0,,,0.00014582065341528505,
residual_action_action_history_gru,autoregressive_open_loop,20,0.3875195384025574,0.042496681213378906,1.0,,,0.0008373659802600741,
residual_action_action_history_gru,autoregressive_open_loop,40,1.8962433338165283,0.08108752220869064,0.7749999761581421,,,0.0010722614824771881,
residual_action_action_history_gru,autoregressive_open_loop,60,8.858384132385254,0.1994466334581375,0.5166666507720947,,,0.0032116579823195934,
residual_action_action_history_gru,autoregressive_open_loop,full,8.858384132385254,0.1994466334581375,0.5166666507720947,0.5655626654624939,36.157222747802734,0.0032116579823195934,1.1032134294509888
residual_action_action_history_gru,corrupted_history_noise_0.1,10,0.18121913075447083,0.02735794521868229,1.0,0.049414098262786865,0.4576583802700043,0.00011750058911275119,
residual_action_action_history_gru,corrupted_history_noise_0.5,10,0.46520575881004333,0.03582751005887985,1.0,0.11131328344345093,1.075217843055725,0.00015303122927434742,
residual_action_action_history_gru,corrupted_history_noise_1.0,10,0.3180714547634125,0.06559541821479797,1.0,0.03390796110033989,0.5689888000488281,0.00029272178653627634,
residual_action_action_history_gru,corrupted_history_noise_2.0,10,0.21674133837223053,0.04875720292329788,1.0,0.008891777135431767,0.4129681885242462,3.9775975892553106e-05,
residual_action_full_state_plus_history,teacher_forced_h1,1,0.01227034255862236,0.01832147315144539,1.0,,,1.7989201296586543e-05,
residual_action_full_state_plus_history,teacher_forced_h1,5,0.00947180949151516,0.012212246656417847,1.0,,,2.8750724595738575e-05,
residual_action_full_state_plus_history,teacher_forced_h1,10,0.00846635177731514,0.013084786012768745,1.0,,,1.6787818822194822e-05,
residual_action_full_state_plus_history,teacher_forced_h1,20,0.03307844698429108,0.015679843723773956,1.0,,,5.74592049815692e-05,
residual_action_full_state_plus_history,teacher_forced_h1,40,0.0323101170361042,0.016859212890267372,0.9750000238418579,,,5.4896565416129306e-05,
residual_action_full_state_plus_history,teacher_forced_h1,60,0.05922937020659447,0.018903225660324097,0.9833333492279053,,,0.00018472192459739745,
residual_action_full_state_plus_history,teacher_forced_h1,full,0.05922937020659447,0.018903225660324097,0.9833333492279053,0.002264309674501419,0.2281433343887329,0.00018472192459739745,0.0373760424554348
residual_action_full_state_plus_history,autoregressive_open_loop,1,0.01227034255862236,0.01832147315144539,1.0,,,1.7989201296586543e-05,
residual_action_full_state_plus_history,autoregressive_open_loop,5,0.02883925847709179,0.02144303359091282,1.0,,,4.0113158320309594e-05,
residual_action_full_state_plus_history,autoregressive_open_loop,10,0.06344612687826157,0.03111429698765278,1.0,,,0.00010880127956625074,
residual_action_full_state_plus_history,autoregressive_open_loop,20,0.48706918954849243,0.0636245459318161,1.0,,,0.0014444834087044,
residual_action_full_state_plus_history,autoregressive_open_loop,40,3.365241527557373,0.16674135625362396,0.7749999761581421,,,0.00225512171164155,
residual_action_full_state_plus_history,autoregressive_open_loop,60,20.633235931396484,0.3069969117641449,0.5166666507720947,,,0.014003949239850044,
residual_action_full_state_plus_history,autoregressive_open_loop,full,20.633235931396484,0.3069969117641449,0.5166666507720947,1.3951549530029297,98.70844268798828,0.014003949239850044,1.4133442640304565
residual_action_full_state_plus_history,corrupted_history_noise_0.1,10,0.05482979491353035,0.03267432376742363,1.0,0.013474215753376484,0.14515294134616852,5.324830999597907e-05,
residual_action_full_state_plus_history,corrupted_history_noise_0.5,10,0.27721258997917175,0.06823576986789703,0.20000000298023224,0.08095971494913101,0.936217725276947,0.0005848865257576108,
residual_action_full_state_plus_history,corrupted_history_noise_1.0,10,0.1957094818353653,0.05746633931994438,1.0,-0.011971935629844666,0.37988901138305664,0.0002535891835577786,
residual_action_full_state_plus_history,corrupted_history_noise_2.0,10,0.3899967074394226,0.08505971729755402,1.0,0.06774330139160156,0.7509309649467468,0.00020587551989592612,
residual_action_full_state_plus_history_separate_heads,teacher_forced_h1,1,0.00901713501662016,0.01620417647063732,1.0,,,3.979939720011316e-06,
residual_action_full_state_plus_history_separate_heads,teacher_forced_h1,5,0.0074495659209787846,0.014025639742612839,1.0,,,3.720877430168912e-06,
residual_action_full_state_plus_history_separate_heads,teacher_forced_h1,10,0.015449427999556065,0.016786422580480576,1.0,,,7.0779724410385825e-06,
residual_action_full_state_plus_history_separate_heads,teacher_forced_h1,20,0.04425150156021118,0.028722846880555153,1.0,,,4.907603215542622e-05,
residual_action_full_state_plus_history_separate_heads,teacher_forced_h1,40,0.07025676220655441,0.0378258153796196,0.9750000238418579,,,7.680912676732987e-05,
residual_action_full_state_plus_history_separate_heads,teacher_forced_h1,60,0.20173896849155426,0.05625644326210022,0.9833333492279053,,,0.00013932163710705936,
residual_action_full_state_plus_history_separate_heads,teacher_forced_h1,full,0.20173896849155426,0.05625644326210022,0.9833333492279053,0.010893082246184349,0.8001570701599121,0.00013932163710705936,0.1222752258181572
residual_action_full_state_plus_history_separate_heads,autoregressive_open_loop,1,0.00901713501662016,0.01620417647063732,1.0,,,3.979939720011316e-06,
residual_action_full_state_plus_history_separate_heads,autoregressive_open_loop,5,0.01447952352464199,0.02125789411365986,1.0,,,2.5671291950857267e-05,
residual_action_full_state_plus_history_separate_heads,autoregressive_open_loop,10,0.032035719603300095,0.030497271567583084,1.0,,,2.9632137739099562e-05,
residual_action_full_state_plus_history_separate_heads,autoregressive_open_loop,20,0.3256898820400238,0.07448703795671463,1.0,,,0.0005151033983565867,
residual_action_full_state_plus_history_separate_heads,autoregressive_open_loop,40,0.5914173722267151,0.125265434384346,0.7749999761581421,,,0.0004721810109913349,
residual_action_full_state_plus_history_separate_heads,autoregressive_open_loop,60,0.8624122738838196,0.17106527090072632,0.5166666507720947,,,0.00038229170604608953,
residual_action_full_state_plus_history_separate_heads,autoregressive_open_loop,full,0.8624122738838196,0.17106527090072632,0.5166666507720947,0.029330283403396606,2.1815569400787354,0.00038229170604608953,1.0186487436294556
residual_action_full_state_plus_history_separate_heads,corrupted_history_noise_0.1,10,0.03211904317140579,0.03058105893433094,1.0,0.007185031659901142,0.07549608498811722,2.930980917881243e-05,
residual_action_full_state_plus_history_separate_heads,corrupted_history_noise_0.5,10,0.028075288981199265,0.02645336464047432,1.0,0.00668221153318882,0.0712117850780487,2.232183214800898e-05,
residual_action_full_state_plus_history_separate_heads,corrupted_history_noise_1.0,10,0.058445043861866,0.046741701662540436,1.0,0.008525755256414413,0.10800611972808838,7.161654502851889e-05,
residual_action_full_state_plus_history_separate_heads,corrupted_history_noise_2.0,10,0.05596482381224632,0.04436802119016647,1.0,0.0045519606210291386,0.08906703442335129,5.6668231991352513e-05,
