variant,capacity,hidden_dim,continuous_normalized_mse,continuous_raw_mse,gripper_sign_accuracy,global_raw_mse,best_epoch
full_state_linear,linear,0,0.8272841572761536,0.02578321471810341,0.9583333134651184,0.045909419655799866,199
full_state_small,small,64,0.05426318943500519,0.006510450970381498,0.96875,0.023437529802322388,198
full_state_medium,medium,256,0.02329608052968979,0.0015061420854181051,0.9791666865348816,0.013195740059018135,199
full_state_large,large,512,0.024403074756264687,0.0014037436340004206,0.9791666865348816,0.013107971288263798,148
action_history_linear,linear,0,2.338676691055298,0.019403263926506042,0.96875,0.03448851406574249,199
action_history_small,small,64,0.08590371906757355,0.006604058668017387,0.9583333134651184,0.029470141977071762,199
action_history_medium,medium,256,0.04379637539386749,0.0016158228972926736,0.96875,0.01924213394522667,198
action_history_large,large,512,0.039470281451940536,0.0015567285008728504,0.96875,0.019191481173038483,184
