variant,label,continuous_normalized_mse,gripper_sign_accuracy,best_epoch,continuous_raw_mse,global_raw_mse
timestep_embedding_mlp,diagnostic_only_not_causal,5.578722993959673e-05,1.0,199,,
lookup_table,diagnostic_only_not_causal,nan,nan,-1,nan,8.974913775485968e-14
