epoch,split,action_mse,action_loss,continuous_mse,gripper_mse,mse_h0,mse_h1,mse_h2,mse_h3
0,train,0.36973369689214797,0.3697337011496226,,,0.14251913130283356,0.1101396381855011,,
0,val,0.27405176560084027,0.2740517556667328,0.17812586451570192,0.8496071696281433,0.052601415663957596,0.04818721488118172,,
1,train,0.2573094822111584,0.257309486468633,,,0.08753779530525208,0.08675674349069595,,
1,val,0.21953508399781727,0.2195350875457128,0.12613117462024093,0.7799584865570068,0.06757670640945435,0.06256752461194992,,
2,train,0.20912542797270275,0.20912542939186096,,,0.06790619343519211,0.06803617626428604,,
2,val,0.1757171494620187,0.17571715265512466,0.08202522830106318,0.7378687262535095,0.04003235325217247,0.04570057988166809,,
3,train,0.17747669560568674,0.17747669915358225,,,0.06063574552536011,0.05350972339510918,,
3,val,0.16605894338516963,0.16605894019206366,0.08173309685662389,0.672014057636261,0.025402024388313293,0.03547922149300575,,
4,train,0.1598737353370303,0.15987373888492584,,,0.051194220781326294,0.055492449551820755,,
4,val,0.13568362451734997,0.13568362842003504,0.06617164169438183,0.5527555346488953,0.030724259093403816,0.03996822610497475,,
5,train,0.13451205832617624,0.13451206187407175,,,0.044977203011512756,0.04844513162970543,,
5,val,0.11793605770383563,0.11793605983257294,0.06238015197838346,0.45127153396606445,0.024804404005408287,0.036379892379045486,,
6,train,0.11521223329362415,0.11521223435799281,,,0.041865840554237366,0.04088475927710533,,
6,val,0.09297078280221849,0.09297078475356102,0.05678807385265827,0.3100670576095581,0.017357319593429565,0.026519738137722015,,
7,train,0.0881873709814889,0.08818737417459488,,,0.026090361177921295,0.02508954517543316,,
7,val,0.07317052142960685,0.07317052284876506,0.051800226947913565,0.2013922929763794,0.0208024512976408,0.02771938033401966,,
8,train,0.07086752142224993,0.07086751858393352,,,0.02282237820327282,0.020627619698643684,,
8,val,0.06697748104731242,0.06697748353083928,0.04868622201805314,0.17672507464885712,0.019102174788713455,0.03218105062842369,,
9,train,0.06716716005688622,0.06716716041167577,,,0.031599100679159164,0.03278878703713417,,
9,val,0.059248305502392,0.05924830585718155,0.03715884181049963,0.19178509712219238,0.01865098439157009,0.028064245358109474,,
10,train,0.05823165887878055,0.0582316592335701,,,0.021725280210375786,0.02480345219373703,,
10,val,0.05472715411867414,0.054727153231700264,0.036253987423454724,0.16556616127490997,0.0173540860414505,0.022961026057600975,,
11,train,0.05538711235636756,0.055387113243341446,,,0.01683068461716175,0.018339218571782112,,
11,val,0.05448485556102935,0.05448485538363457,0.03522704382582257,0.17003171145915985,0.019269170239567757,0.021845772862434387,,
12,train,0.054657788503737675,0.0546577883263429,,,0.013736002147197723,0.014704073779284954,,
12,val,0.05160930610838391,0.051609307527542114,0.03232222438479463,0.16733179986476898,0.017666533589363098,0.020660029724240303,,
13,train,0.05083567897478739,0.05083568021655083,,,0.013597437180578709,0.01993531547486782,,
13,val,0.04678988740557716,0.04678988829255104,0.028538094523052376,0.1563006490468979,0.015434912405908108,0.019748644903302193,,
14,train,0.046363067059289845,0.0463630681236585,,,0.011530858464539051,0.01414231862872839,,
14,val,0.042273305711292085,0.04227330535650253,0.02472248685080558,0.14757822453975677,0.013948663137853146,0.021421173587441444,,
15,train,0.04239184231985183,0.042391842852036156,,,0.018194235861301422,0.026148458942770958,,
15,val,0.039511220795767646,0.03951121990879377,0.022273482386178028,0.14293764531612396,0.01426093652844429,0.019559355452656746,,
16,train,0.03913636221772149,0.039136363193392754,,,0.008484515361487865,0.009267040528357029,,
16,val,0.03677659517242795,0.03677659605940183,0.019425450048098963,0.1408834606409073,0.012330654077231884,0.017135407775640488,,
17,train,0.036963242860067455,0.036963243037462234,,,0.013567193411290646,0.013716950081288815,,
17,val,0.03489350279172262,0.03489350279172262,0.017648344665455323,0.13836444914340973,0.0107416408136487,0.01615501008927822,,
18,train,0.03444142994426545,0.03444143012166023,,,0.013078194111585617,0.01832651160657406,,
18,val,0.03357556888035366,0.03357556834816933,0.015505216317251325,0.14199769496917725,0.010594003833830357,0.017063358798623085,,
19,train,0.03403457999229431,0.03403457999229431,,,0.012386382557451725,0.01720423810184002,,
19,val,0.031706340256191436,0.03170634061098099,0.014723109702269236,0.1336057186126709,0.01060923095792532,0.01663213036954403,,
20,train,0.03190529062634423,0.03190529098113378,,,0.013877127319574356,0.014908462762832642,,
20,val,0.030486294911021276,0.030486295620600384,0.012386742164380848,0.1390836089849472,0.00944723840802908,0.014645150862634182,,
21,train,0.03130132882367997,0.03130132767061392,,,0.009114312939345837,0.01188252866268158,,
21,val,0.028816630442937214,0.028816630442937214,0.011524009712350866,0.13257235288619995,0.00894306693226099,0.014170643873512745,,
22,train,0.02872178100404285,0.028721780826648075,,,0.012407745234668255,0.0163715872913599,,
22,val,0.02709546969050453,0.027095469335714977,0.010519703190463284,0.12655006349086761,0.008493156172335148,0.01309808436781168,,
23,train,0.026959104906945003,0.02695910508433978,,,0.014167907647788525,0.017841890454292297,,
23,val,0.027017516039666675,0.027017516394456226,0.009884918865282089,0.129813089966774,0.008944342844188213,0.013615316711366177,,
24,train,0.026847633577528455,0.026847633222738903,,,0.01284742634743452,0.012001171708106995,,
24,val,0.025481209868476504,0.0254812091588974,0.009224628156516701,0.123020701110363,0.007961858063936234,0.01295859832316637,,
25,train,0.025386688255128406,0.025386688609917957,,,0.013751772232353687,0.01471551600843668,,
25,val,0.025057527990568252,0.025057528167963028,0.008244619588367641,0.12593497335910797,0.007831276394426823,0.01229072269052267,,
26,train,0.02512407231898535,0.025124072407682736,,,0.008136710152029991,0.008012344129383564,,
