variant,dim,label,raw_mse,raw_mae,normalized_mse,residual_mean,residual_std,residual_min,residual_max
full_state_plus_history,0,delta_pos_x,0.0019340134458616376,0.0336579903960228,0.01895756460726261,-0.003636406734585762,0.044056881219148636,-0.14051802456378937,0.1248534768819809
full_state_plus_history,1,delta_pos_y,0.0016364464536309242,0.032352518290281296,0.025560781359672546,0.0016705943271517754,0.04063067585229874,-0.1325235515832901,0.08909313380718231
full_state_plus_history,2,delta_pos_z,0.0024608310777693987,0.03554549440741539,0.009312034584581852,0.012261442840099335,0.04831986129283905,-0.07181549072265625,0.1857643723487854
full_state_plus_history,3,delta_rot_x,5.880089520360343e-05,0.006630222778767347,0.06267087161540985,0.0018130443058907986,0.007489867974072695,-0.012423706240952015,0.020354606211185455
full_state_plus_history,4,delta_rot_y,0.0001213488940265961,0.0086361737921834,0.012169573456048965,0.0002136888651875779,0.011071590706706047,-0.02355724573135376,0.0356198251247406
full_state_plus_history,5,delta_rot_z,1.4154050404613372e-05,0.00282938196323812,0.015343502163887024,0.0017249739030376077,0.0033609794918447733,-0.0048723965883255005,0.014502130448818207
action_history_gru,0,delta_pos_x,0.0024104444310069084,0.03896380588412285,0.02362762950360775,-0.001645319745875895,0.04932628199458122,-0.13552157580852509,0.16479447484016418
action_history_gru,1,delta_pos_y,0.002978608012199402,0.04251730069518089,0.04652492329478264,-0.003450644901022315,0.05475334823131561,-0.2043801099061966,0.09475241601467133
action_history_gru,2,delta_pos_z,0.0026782117784023285,0.04141570255160332,0.010134625248610973,-0.002628882182762027,0.0519559420645237,-0.10476219654083252,0.16023796796798706
action_history_gru,3,delta_rot_x,4.988938235328533e-05,0.005118431057780981,0.053172845393419266,-0.0008572124061174691,0.007047835271805525,-0.014278478920459747,0.03223314508795738
action_history_gru,4,delta_rot_y,0.0002741517382673919,0.01327474880963564,0.027493534609675407,-0.002905596047639847,0.016386158764362335,-0.035458773374557495,0.04736827686429024
action_history_gru,5,delta_rot_z,4.730083674076013e-05,0.005120490677654743,0.0512758232653141,-0.0008287202217616141,0.006863288581371307,-0.01948835700750351,0.018574565649032593
last_action,0,delta_pos_x,0.0024956155102699995,0.03833705559372902,0.024462489411234856,0.00535714253783226,0.04992878809571266,-0.12589287757873535,0.1339285671710968
last_action,1,delta_pos_y,0.0019444306381046772,0.0336216501891613,0.030371397733688354,0.0008649551309645176,0.04431864246726036,-0.1741071343421936,0.08839285373687744
last_action,2,delta_pos_z,0.003994165454059839,0.05159040167927742,0.01511432696133852,0.0022042409982532263,0.06349251419305801,-0.13124999403953552,0.18482142686843872
last_action,3,delta_rot_x,6.613918958464637e-05,0.0054352679289877415,0.07049214094877243,-0.00012276780034881085,0.008174359798431396,-0.01714285835623741,0.03642857447266579
last_action,4,delta_rot_y,0.0002234454732388258,0.010892856866121292,0.022408409044146538,0.0004241071583237499,0.015020511113107204,-0.039642855525016785,0.05464285612106323
last_action,5,delta_rot_z,5.0438455218682066e-05,0.004464285913854837,0.05467711016535759,0.0004687500186264515,0.0071237171068787575,-0.018214285373687744,0.031071428209543228
