epoch,split,loss,action_mse,continuous_mse,gripper_mse,gripper_sign_accuracy,gripper_open_accuracy,gripper_close_accuracy,gripper_transition_f1,action_correlation,continuous_correlation,gripper_correlation,grad_norm,action_head_update_norm,pred_variance,target_variance,residual_dim0,pred_var_dim0,target_var_dim0,residual_dim1,pred_var_dim1,target_var_dim1,residual_dim2,pred_var_dim2,target_var_dim2,residual_dim3,pred_var_dim3,target_var_dim3,residual_dim4,pred_var_dim4,target_var_dim4,residual_dim5,pred_var_dim5,target_var_dim5,residual_dim6,pred_var_dim6,target_var_dim6
0,train,0.8188235561052958,0.4180152416229248,0.2654622495174408,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.30748236179351807,0.34493309259414673,nan,4.465674740845005,0.049399275332689285,0.3092847764492035,0.22385264933109283,-0.022960448637604713,0.006218223832547665,0.10770059376955032,0.8668988347053528,0.007832602597773075,0.06782600283622742,-0.23125307261943817,0.0004222425923217088,0.2797382175922394,0.04901273548603058,0.003003886202350259,0.0010034433798864484,-0.31816068291664124,0.000260869855992496,0.010597898624837399,0.5023436546325684,0.0009438162087462842,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
0,eval,,0.4180152416229248,0.2654622793197632,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3074823319911957,0.3449331521987915,nan,,,0.3092847764492035,0.22385264933109283,-0.02296045422554016,0.0062182252295315266,0.10770059376955032,0.8668988347053528,0.0078326016664505,0.06782600283622742,-0.23125307261943817,0.00042224267963320017,0.2797382175922394,0.04901273176074028,0.0030038864351809025,0.0010034433798864484,-0.31816068291664124,0.00026086988509632647,0.010597898624837399,0.5023437142372131,0.0009438159759156406,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
1,train,0.6902820269266764,0.26345035433769226,0.0851365253329277,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3079410195350647,0.38002780079841614,nan,2.5484391707891247,0.029358522035181522,0.14549125730991364,0.22385264933109283,-0.05039815232157707,0.010085701011121273,0.10770059376955032,-0.0226884875446558,0.013997684232890606,0.06782600283622742,0.20996785163879395,0.00043867071508429945,0.2797382175922394,-0.251804381608963,0.00045325476094149053,0.0010034433798864484,-0.04904394969344139,0.0007757390267215669,0.010597898624837399,0.0046579851768910885,0.0008157973643392324,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
1,eval,,0.26345038414001465,0.0851365178823471,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3079409599304199,0.3800278306007385,nan,,,0.14549125730991364,0.22385264933109283,-0.05039815232157707,0.010085701011121273,0.10770059376955032,-0.022688493132591248,0.013997683301568031,0.06782600283622742,0.20996786653995514,0.0004386707441881299,0.2797382175922394,-0.251804381608963,0.000453254790045321,0.0010034433798864484,-0.04904395341873169,0.0007757390267215669,0.010597898624837399,0.004657984245568514,0.0008157972479239106,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
2,train,0.5877405802408854,0.2967132031917572,0.15866540372371674,1.125,0.71875,1.0,0.15625,0.2909090909090909,0.33762750029563904,0.20596642792224884,0.3314967751502991,1.8735569700249215,0.0220398074015975,0.22407357394695282,0.22385264933109283,0.04361167550086975,0.022939039394259453,0.10770059376955032,-0.5623642802238464,0.01898711360991001,0.06782600283622742,-0.02201567403972149,0.0011043353006243706,0.2797382175922394,0.11818120628595352,0.0004338303697295487,0.0010034433798864484,0.28608784079551697,0.0036436126101762056,0.010597898624837399,-0.3953191936016083,0.002276019426062703,0.0008835040498524904,0.5625,0.1974826455116272,0.8888888955116272
2,eval,,0.2967132031917572,0.15866540372371674,1.125,0.71875,1.0,0.15625,0.0,0.33762750029563904,0.20596644282341003,0.3314967155456543,,,0.22407357394695282,0.22385264933109283,0.043611664324998856,0.022939039394259453,0.10770059376955032,-0.5623642802238464,0.01898711360991001,0.06782600283622742,-0.022015675902366638,0.0011043354170396924,0.2797382175922394,0.11818122118711472,0.00043383039883337915,0.0010034433798864484,0.28608787059783936,0.0036436128430068493,0.010597898624837399,-0.3953191936016083,0.002276019426062703,0.0008835040498524904,0.5625,0.1974826455116272,0.8888888955116272
3,train,0.5733610391616821,0.2419889122247696,0.09482040256261826,1.125,0.71875,1.0,0.15625,0.391304347826087,0.398404061794281,0.3874378800392151,0.3314967751502991,3.2751998378951988,0.018102400936186314,0.17598485946655273,0.22385264933109283,-0.11278387159109116,0.03586346656084061,0.10770059376955032,-0.34152206778526306,0.03208257630467415,0.06782600283622742,-0.014820925891399384,0.003825885709375143,0.2797382175922394,0.0930224135518074,0.0009008888155221939,0.0010034433798864484,0.14233963191509247,0.00699701439589262,0.010597898624837399,-0.2069583684206009,0.004970919340848923,0.0008835040498524904,0.5625,0.1974826455116272,0.8888888955116272
3,eval,,0.2419889122247696,0.09482039511203766,1.125,0.71875,1.0,0.15625,0.0,0.3984040915966034,0.3874379098415375,0.3314967155456543,,,0.17598485946655273,0.22385264933109283,-0.11278385668992996,0.035863470286130905,0.10770059376955032,-0.34152206778526306,0.03208257630467415,0.06782600283622742,-0.014820918440818787,0.0038258859422057867,0.2797382175922394,0.09302239865064621,0.0009008886991068721,0.0010034433798864484,0.14233964681625366,0.006997014861553907,0.010597898624837399,-0.2069583684206009,0.004970918875187635,0.0008835040498524904,0.5625,0.1974826455116272,0.8888888955116272
4,train,0.4827049473921458,0.15378530323505402,0.07524953037500381,0.625,0.84375,1.0,0.53125,0.823529411764706,0.630672037601471,0.5300891995429993,0.6560333371162415,1.5290750305846292,0.01743424218147993,0.17331403493881226,0.22385264933109283,-0.05661098286509514,0.04862929508090019,0.10770059376955032,0.1771221160888672,0.05030997842550278,0.06782600283622742,0.09245774894952774,0.009962974116206169,0.2797382175922394,-0.09904690831899643,0.0015181158669292927,0.0010034433798864484,-0.09241197258234024,0.010279088281095028,0.010597898624837399,0.16414161026477814,0.0075661116279661655,0.0008835040498524904,0.3125,0.5828993320465088,0.8888888955116272
4,eval,,0.15378530323505402,0.07524953037500381,0.625,0.84375,1.0,0.53125,0.0,0.6306719779968262,0.5300891995429993,0.6560333371162415,,,0.17331403493881226,0.22385264933109283,-0.05661098286509514,0.04862929508090019,0.10770059376955032,0.1771221160888672,0.05030997842550278,0.06782600283622742,0.09245774894952774,0.009962975978851318,0.2797382175922394,-0.09904690831899643,0.0015181160997599363,0.0010034433798864484,-0.09241197258234024,0.010279087349772453,0.010597898624837399,0.16414159536361694,0.007566110696643591,0.0008835040498524904,0.3125,0.5828993320465088,0.8888888955116272
5,train,0.4130760629971822,0.10255888849496841,0.11965203285217285,0.0,1.0,1.0,1.0,1.0,0.7998647689819336,0.5335378050804138,1.0000001192092896,2.314602901156011,0.01569221541285515,0.24646788835525513,0.22385264933109283,0.1261925846338272,0.060971006751060486,0.10770059376955032,0.5012280941009521,0.07116284966468811,0.06782600283622742,-0.05212877318263054,0.017476487904787064,0.2797382175922394,-0.030041024088859558,0.0030780411325395107,0.0010034433798864484,-0.15179264545440674,0.012908116914331913,0.010597898624837399,0.23248469829559326,0.00886209774762392,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
