target_shift,train_mse,eval_mse,continuous_mse,gripper_mse,gripper_sign_accuracy,gripper_open_accuracy,gripper_close_accuracy,gripper_transition_f1,action_trace_correlation,continuous_trace_correlation,gripper_trace_correlation,best_epoch,passed
-1,0.00026019138749688864,0.0002601913583930582,0.00028735684463754296,9.719790978124365e-05,1.0,1.0,1.0,1.0,0.9994194507598877,0.9985348582267761,0.9999526143074036,285,False
0,0.005016430281102657,0.00501642981544137,0.0009036770788952708,0.02969294600188732,1.0,1.0,1.0,1.0,0.9888161420822144,0.995527982711792,0.9832311272621155,287,False
1,0.001364230178296566,0.001364230178296566,0.0007798952283337712,0.004870240110903978,1.0,1.0,1.0,1.0,0.9970172643661499,0.9961879849433899,0.9973042011260986,297,False
2,0.0022234669886529446,0.0022234669886529446,0.0008802093216218054,0.010283012874424458,1.0,1.0,1.0,1.0,0.9950547218322754,0.9956492185592651,0.9950850009918213,297,False
