epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
6,train_single_demo,0.1309905127,0.1309905127,raw_action_units,0.9901234706,0.9901234706,5.37433211,"[0.9959123135, 0.9673330784, 0.9841103554, 1.013138175]","[5.3900756836, 5.3450036049, 5.3606562614, 5.4015927315]","[0.0348968618, 0.0351744927, 0.0420814045, 0.044501707]","[0.0217462052, 0.0182727166, 0.0748706758, 0.0036713912, 0.006103287, 0.0018093967, 0.147671625]",0,0.1309905081,raw_action_units,2,96,769564,769564,true
6,eval_same_demo_teacher_forced,0.1130959615,0.1130959615,raw_action_units,0.9949785074,0.9949785074,5.384672801,"[1.0023553371, 0.967510879, 0.9938235879, 1.0162242651]","[5.4020519257, 5.3489890099, 5.3756756783, 5.4119758606]","[0.0185066033, 0.031309396, 0.0369322337, 0.0347174443]","[0.0095416242, 0.0132096773, 0.044581648, 0.0073831137, 0.0050705704, 0.0025897326, 0.1301885545]",0,0.113095959,raw_action_units,2,96,769564,769564,true
7,train_single_demo,0.109903569,0.109903569,raw_action_units,0.9943867127,0.9943867127,5.384664853,"[1.0027250051, 0.9662622809, 0.995510757, 1.0130488873]","[5.4035115242, 5.3476452827, 5.378757, 5.408744812]","[0.0336594395, 0.0313489176, 0.0395798124, 0.0420331769]","[0.0274047926, 0.0154771544, 0.0603297614, 0.0065012998, 0.0063127372, 0.0022428478, 0.1383187324]",0,0.1099035655,raw_action_units,2,96,769564,769564,true
7,eval_same_demo_teacher_forced,0.09451443205,0.09451443205,raw_action_units,0.9894425074,0.9894425074,5.38199393,"[1.0017039776, 0.9627968669, 0.9972336888, 0.9960355759]","[5.4073939323, 5.3437080383, 5.3859162331, 5.3909568787]","[0.0236688033, 0.0318994448, 0.0332099535, 0.0337028727]","[0.0078914976, 0.01334289, 0.0512004197, 0.0066101872, 0.0072777537, 0.0041302079, 0.1238889098]",0,0.09451442673,raw_action_units,2,96,769564,769564,true
8,train_single_demo,0.09230783333,0.09230783333,raw_action_units,0.9881840547,0.9881840547,5.38066864,"[1.0006402731, 0.963172853, 0.9967884421, 0.9921346307]","[5.4065642357, 5.3439769745, 5.3865551949, 5.3855776787]","[0.0220168028, 0.0261641238, 0.0257049073, 0.0292975735]","[0.0201744568, 0.0151118636, 0.0459366329, 0.0068763788, 0.0070642238, 0.0031199495, 0.0822874531]",0,0.09230782872,raw_action_units,2,96,769564,769564,true
8,eval_same_demo_teacher_forced,0.08066064616,0.08066064616,raw_action_units,0.9857506156,0.9857506156,5.383551915,"[1.0008219481, 0.9715819359, 0.9938486218, 0.9767498374]","[5.415034771, 5.3591303825, 5.3918228149, 5.3682198524]","[0.0216703396, 0.0258620922, 0.03197027, 0.0330972299]","[0.0086015807, 0.0137233846, 0.0431175083, 0.0016726045, 0.0077338354, 0.0025921611, 0.1196087971]",0,0.08066064403,raw_action_units,2,96,769564,769564,true
9,train_single_demo,0.07966170708,0.07966170708,raw_action_units,0.9866528312,0.9866528312,5.387771924,"[1.0024751425, 0.9739351869, 0.9942300916, 0.9759709239]","[5.4209370613, 5.3650970459, 5.3956737518, 5.3693795204]","[0.0143752368, 0.0295369979, 0.025709711, 0.0257512424]","[0.0262509715, 0.0189877208, 0.0505726002, 0.0120838629, 0.0068187681, 0.0015142296, 0.050674919]",0,0.07966170141,raw_action_units,2,96,769564,769564,true
9,eval_same_demo_teacher_forced,0.07756758233,0.07756758233,raw_action_units,0.9909520348,0.9909520348,5.405448437,"[1.0070362091, 0.9847430587, 0.9967132211, 0.9753157496]","[5.4411034584, 5.392229557, 5.4118456841, 5.3766140938]","[0.0161192026, 0.0263476837, 0.0333284512, 0.0323310047]","[0.0089028077, 0.0120422505, 0.0408917032, 0.002145014, 0.0057726265, 0.0015486364, 0.1179180518]",0,0.0775675802,raw_action_units,2,96,769564,769564,true
10,train_single_demo,0.07794826478,0.07794826478,raw_action_units,0.9915981491,0.9915981491,5.408102036,"[1.0067981482, 0.9862143397, 0.9970331192, 0.9763469696]","[5.442471981, 5.3964009285, 5.4141917229, 5.379342556]","[0.0153162023, 0.0398416109, 0.033451017, 0.0357274637]","[0.0190001354, 0.017567018, 0.0464075692, 0.0082941614, 0.0040146089, 0.0020071894, 0.1202978194]",0,0.07794825804,raw_action_units,2,96,769564,769564,true
10,eval_same_demo_teacher_forced,0.07269351184,0.07269351184,raw_action_units,0.994875749,0.994875749,5.417553584,"[1.0057090521, 0.9929240346, 0.9965979457, 0.9842719436]","[5.4447989464, 5.4124660492, 5.4165072441, 5.3964409828]","[0.0169801656, 0.0289994683, 0.0341757871, 0.0373407379]","[0.0078702709, 0.0126284063, 0.0606075078, 0.0019892522, 0.0053655808, 0.004807591, 0.1123496592]",0,0.07269350688,raw_action_units,2,96,769564,769564,true
