epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
5,train,0.02289631465,0.02289631465,raw_action_units,1.004554488,1.004554488,5.396099258,"[1.0084173679, 1.0093098879, 1.0258234739, 0.9746678472]","[5.4045314789, 5.3994474411, 5.4287705421, 5.3516387939]","[0.0111446958, 0.0193556733, 0.0270025637, 0.0339968838]","[0.0124796964, 0.0078954333, 0.0132969096, 0.0009599192, 0.0013725449, 0.0009232197, 0.1231968403]",0,0.02289631465,raw_action_units,1315,42067,769564,769564,true
5,val,0.02231220047,0.02231220047,raw_action_units,1.005654204,1.005654204,5.429873884,"[1.0212546587, 1.0264493227, 0.9985674024, 0.9763459563]","[5.4584879875, 5.4548354149, 5.4165658951, 5.3896045685]","[0.0111650871, 0.0187427383, 0.0258638654, 0.0330582447]","[0.0126080923, 0.0083962688, 0.0101674553, 0.0007505029, 0.0015756204, 0.0008854422, 0.1210689694]",0,0.02231220036,raw_action_units,190,6073,769564,769564,true
6,train,0.02238473359,0.02238473359,raw_action_units,1.00195914,1.00195914,5.396154564,"[1.0082306862, 1.0136131048, 1.0168312788, 0.9691618085]","[5.4074816704, 5.4099826813, 5.4209699631, 5.3461828232]","[0.010994059, 0.0188452955, 0.026322715, 0.0332944766]","[0.0122186299, 0.0077738347, 0.0130477184, 0.0008749249, 0.0013011759, 0.0008483292, 0.1204844266]",0,0.02238473358,raw_action_units,1315,42067,769564,769564,true
6,val,0.02055302742,0.02055302742,raw_action_units,1.008909573,1.008909573,5.433959662,"[1.0135916471, 1.033254385, 1.0035561323, 0.9852364063]","[5.4427924156, 5.4655847549, 5.4288067818, 5.3986554146]","[0.0098339114, 0.0174438879, 0.0240662843, 0.0304688662]","[0.0109059801, 0.0079827867, 0.0094862543, 0.0007700158, 0.0016566087, 0.0005407445, 0.1118302122]",0,0.02055302738,raw_action_units,190,6073,769564,769564,true
7,train,0.02193864834,0.02193864834,raw_action_units,1.001360737,1.001360737,5.400026929,"[1.0049446821, 1.0161173344, 1.0131713152, 0.9712101817]","[5.4069514275, 5.4195876122, 5.4206871986, 5.3528809547]","[0.010703844, 0.0184621103, 0.0258108303, 0.0326934718]","[0.0118107414, 0.0073326826, 0.0125742825, 0.0007654795, 0.0012340395, 0.0007671171, 0.1189386323]",0,0.02193864833,raw_action_units,1315,42067,769564,769564,true
7,val,0.02113402072,0.02113402072,raw_action_units,1.008070645,1.008070645,5.443271001,"[1.0222939253, 1.0253918171, 0.9999776483, 0.9846194386]","[5.4684624672, 5.4658484459, 5.4306282997, 5.408144474]","[0.0097984513, 0.0170955621, 0.0250466578, 0.0322286636]","[0.0114211058, 0.0075291703, 0.0107308319, 0.0005472197, 0.0013191336, 0.0006027642, 0.1151461005]",0,0.02113402073,raw_action_units,190,6073,769564,769564,true
8,train,0.02154814542,0.02154814542,raw_action_units,1.000766759,1.000766759,5.400987252,"[1.0065411329, 1.0166893005, 1.0104074478, 0.9694302082]","[5.4107708931, 5.4225306511, 5.4183926582, 5.3522558212]","[0.0106373802, 0.0181941241, 0.0253077764, 0.0319854096]","[0.0116988067, 0.0072972314, 0.0124416696, 0.0006900062, 0.0012105317, 0.0007524419, 0.1166274026]",0,0.02154814541,raw_action_units,1315,42067,769564,769564,true
8,val,0.02064697179,0.02064697179,raw_action_units,1.004549128,1.004549128,5.435358996,"[1.0170931816, 1.0269069672, 1.0034587383, 0.9707382321]","[5.4564433098, 5.46611166, 5.4336099625, 5.3852705956]","[0.0095551377, 0.0168307815, 0.0241214577, 0.0317401029]","[0.0096502751, 0.0069423541, 0.0105156815, 0.0004910447, 0.0016962617, 0.0005557821, 0.1140816808]",0,0.02064697183,raw_action_units,190,6073,769564,769564,true
9,train,0.0213786246,0.0213786246,raw_action_units,1.000364467,1.000364467,5.40555266,"[1.0089007616, 1.015840888, 1.0092029572, 0.9675129652]","[5.4190139771, 5.4272627831, 5.4224858284, 5.3534502983]","[0.0105294408, 0.0181313343, 0.0250903554, 0.0317321271]","[0.0116347019, 0.0070232521, 0.0122771198, 0.0006034631, 0.00117768, 0.0006841393, 0.1161954775]",0,0.02137862458,raw_action_units,1315,42067,769564,769564,true
9,val,0.02138394934,0.02138394934,raw_action_units,1.00537815,1.005378151,5.459891515,"[1.0295813084, 1.0209202766, 0.9971657395, 0.9738453031]","[5.5003318787, 5.4851679802, 5.4448041916, 5.4092621803]","[0.010507971, 0.0176823065, 0.0252704397, 0.0317481086]","[0.0089856293, 0.0069692861, 0.0092750117, 0.0003694967, 0.0012572313, 0.0006111046, 0.1216476709]",0,0.02138394931,raw_action_units,190,6073,769564,769564,true
