epoch,split,action_mse
0,val,0.14244879711241948
0,train,0.14244879711241948
1,val,0.09127189999534971
1,train,0.09127189999534971
2,val,0.06484081063951765
2,train,0.06484081063951765
3,val,0.058387438456217446
3,train,0.058387438456217446
4,val,0.05546782130286807
4,train,0.05546782130286807
5,val,0.04636315078962417
5,train,0.04636315078962417
6,val,0.04021762950079782
6,train,0.04021762950079782
7,val,0.03815334609576634
7,train,0.03815334609576634
8,val,0.03620383143424988
8,train,0.03620383143424988
9,val,0.03324505261012486
9,train,0.03324505261012486
10,val,0.030904571215311687
10,train,0.030904571215311687
11,val,0.030373235543568928
11,train,0.030373235543568928
12,val,0.02930718802270435
12,train,0.02930718802270435
13,val,0.027178951672145298
13,train,0.027178951672145298
14,val,0.02586768212772551
14,train,0.02586768212772551
15,val,0.02538922145253136
15,train,0.02538922145253136
16,val,0.025029084512165616
16,train,0.025029084512165616
17,val,0.02421529803957258
17,train,0.02421529803957258
18,val,0.02313202548594702
18,train,0.02313202548594702
19,val,0.02261677384376526
19,train,0.02261677384376526
20,val,0.02204662845248268
20,train,0.02204662845248268
21,val,0.021553197786921545
21,train,0.021553197786921545
22,val,0.02130652822199322
22,train,0.02130652822199322
23,val,0.020693595210711162
23,train,0.020693595210711162
24,val,0.020217705340612502
24,train,0.020217705340612502
25,val,0.01983438999879928
25,train,0.01983438999879928
26,val,0.019422526160875957
26,train,0.019422526160875957
27,val,0.019055594291005815
27,train,0.019055594291005815
28,val,0.01876683249360039
28,train,0.01876683249360039
29,val,0.01841901597522554
29,train,0.01841901597522554
30,val,0.018056428858212063
30,train,0.018056428858212063
31,val,0.017661596337954204
31,train,0.017661596337954204
32,val,0.01729067379520053
32,train,0.01729067379520053
33,val,0.01702437514350528
33,train,0.01702437514350528
34,val,0.016558036917731875
34,train,0.016558036917731875
35,val,0.016286874101275488
35,train,0.016286874101275488
36,val,0.015896485674948918
36,train,0.015896485674948918
37,val,0.015529135862986246
37,train,0.015529135862986246
38,val,0.015136265328952245
38,train,0.015136265328952245
39,val,0.01481323086080097
39,train,0.01481323086080097
40,val,0.014586028598603747
