epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
28,val,0.02062012522,0.01951678761,raw_action_units,0.001103337565,0.001103337565,0.579061166,"[0.0007371453, 0.0009923106, 0.0012278846, 0.0014560096]","[0.7041555047, 0.6046034694, 0.5412272215, 0.4662587345]","[0.0088743949, 0.0158664435, 0.023088377, 0.0299112927]","[0.0089306692, 0.0069874437, 0.0083652306, 0.0002877434, 0.0008181447, 0.0004611358, 0.110195525]",0,0.01951678672,raw_action_units,190,6073,769564,769564,true
29,train,0.01984242255,0.01847384739,raw_action_units,0.001368575128,0.001368575128,0.5465759331,"[0.0009204283, 0.0012642714, 0.0015248064, 0.0017647964]","[0.6335124373, 0.565543294, 0.5215424299, 0.4657047391]","[0.009366489, 0.0156483725, 0.021612253, 0.0272374917]","[0.0100213764, 0.006131941, 0.0104550533, 0.000400552, 0.0008987135, 0.0004616801, 0.1008936912]",0,0.01847384657,raw_action_units,1315,42067,769564,769564,true
29,val,0.02170649783,0.02062753078,raw_action_units,0.001078967039,0.001078967039,0.5785904312,"[0.0007389651, 0.0009732357, 0.0011917873, 0.0014118803]","[0.6948239207, 0.6023275256, 0.5431749821, 0.4740354121]","[0.0098559381, 0.016777033, 0.0243413392, 0.0312166009]","[0.0115811648, 0.0075258701, 0.010883891, 0.0003422693, 0.0008289818, 0.0004697614, 0.1122021377]",0,0.02062752989,raw_action_units,190,6073,769564,769564,true
30,train,0.0198201918,0.01845006005,raw_action_units,0.001370131741,0.001370131741,0.6367298339,"[0.0009186884, 0.0012657982, 0.0015273639, 0.0017686783]","[0.7425525188, 0.6577214003, 0.6051977873, 0.5414466262]","[0.0093490714, 0.015653871, 0.0215408634, 0.0272117853]","[0.0099165803, 0.0061377147, 0.0104382345, 0.000407272, 0.0008775543, 0.0004612537, 0.1008337438]",0,0.01845005923,raw_action_units,1315,42067,769564,769564,true
30,val,0.02124352599,0.02009137828,raw_action_units,0.001152147684,0.001152147684,0.6912210549,"[0.0007983276, 0.0010546115, 0.0012679031, 0.0014877496]","[0.8610631824, 0.7201326489, 0.6326453686, 0.5510426164]","[0.0097119734, 0.0165569186, 0.0234223325, 0.0302845854]","[0.0095446259, 0.0075695477, 0.0082471352, 0.0004807864, 0.0008005398, 0.0003896204, 0.1129253805]",0,0.02009137732,raw_action_units,190,6073,769564,769564,true
31,train,0.01954779731,0.01820446821,raw_action_units,0.001343329098,0.001343329098,0.7075419812,"[0.0009010113, 0.0012414497, 0.001495647, 0.0017352075]","[0.8290560842, 0.731116116, 0.6707190871, 0.5992767811]","[0.0093063293, 0.015434511, 0.0211884044, 0.0268280171]","[0.0099509507, 0.0061115324, 0.0103707006, 0.0003996915, 0.0008702217, 0.0004452734, 0.0991768166]",0,0.0182044674,raw_action_units,1315,42067,769564,769564,true
31,val,0.02122434196,0.02008759543,raw_action_units,0.001136746503,0.001136746504,0.6836155297,"[0.0007635491, 0.0010341724, 0.001259531, 0.0014897339]","[0.8464158773, 0.7145534754, 0.6308829188, 0.5426103473]","[0.0092350664, 0.0161922798, 0.0238497872, 0.0307158902]","[0.0089309383, 0.0075100069, 0.0086450893, 0.0005950155, 0.000865961, 0.0003721617, 0.1130685881]",0,0.02008759453,raw_action_units,190,6073,769564,769564,true
32,train,0.01946381262,0.01812311804,raw_action_units,0.001340694569,0.001340694569,0.7773739252,"[0.0009024689, 0.0012405915, 0.0014927825, 0.0017269328]","[0.9208058119, 0.8054411411, 0.7316762805, 0.6515718699]","[0.0092899157, 0.015403321, 0.0210820027, 0.0266400911]","[0.0097970236, 0.0060639158, 0.0103358058, 0.0004023392, 0.0008880857, 0.000448177, 0.0987916142]",0,0.01812311724,raw_action_units,1315,42067,769564,769564,true
32,val,0.02030983759,0.01920559308,raw_action_units,0.001104244482,0.001104244482,0.7796802219,"[0.0007611347, 0.0010092049, 0.0012179379, 0.0014287001]","[0.9677829146, 0.8206359744, 0.7141811848, 0.6161203384]","[0.0090517448, 0.0155501897, 0.0223705303, 0.0294923671]","[0.0082060853, 0.0069689383, 0.0086202854, 0.0002796577, 0.0009399772, 0.0004242222, 0.1083742902]",0,0.01920559218,raw_action_units,190,6073,769564,769564,true
33,train,0.0192939213,0.01795277332,raw_action_units,0.001341147986,0.001341147986,0.8697478451,"[0.0009031054, 0.0012397891, 0.0014942611, 0.0017274364]","[1.0335114002, 0.8995320797, 0.8159869909, 0.7299617529]","[0.0092664808, 0.0153028285, 0.0208320729, 0.0263144653]","[0.0098531088, 0.006018416, 0.0102665918, 0.0004003179, 0.0008911522, 0.0004505578, 0.097622551]",0,0.01795277252,raw_action_units,1315,42067,769564,769564,true
33,val,0.02225627672,0.02113038371,raw_action_units,0.001125893003,0.001125893004,0.8142339244,"[0.0007475105, 0.0010218124, 0.0012508607, 0.0014833888]","[1.0315145254, 0.8448756933, 0.743565619, 0.6369798779]","[0.0096806604, 0.0173032004, 0.0250088517, 0.0322410949]","[0.0109436763, 0.0064743455, 0.0094899749, 0.0002808789, 0.000842824, 0.0004042275, 0.1189732403]",0,0.02113038269,raw_action_units,190,6073,769564,769564,true
34,train,0.01910458259,0.01777893372,raw_action_units,0.001325648843,0.001325648843,0.9677770092,"[0.000890419, 0.0012246673, 0.0014767025, 0.0017108056]","[1.1518630981, 1.0012398958, 0.9072030783, 0.8108010888]","[0.0091971382, 0.0151264025, 0.0206514932, 0.026096534]","[0.0097287325, 0.0059582437, 0.0102476291, 0.0003885076, 0.000866805, 0.0004330836, 0.0967522636]",0,0.01777893293,raw_action_units,1315,42067,769564,769564,true
34,val,0.02074927227,0.01968210996,raw_action_units,0.001067162281,0.001067162281,0.98762465,"[0.0007205721, 0.0009675465, 0.0011857345, 0.0013947958]","[1.2113382816, 1.0261241198, 0.9163928032, 0.7966433764]","[0.0093237553, 0.01600191, 0.0230104458, 0.0299748238]","[0.0100824842, 0.0089188041, 0.0094217435, 0.0002743459, 0.0009028951, 0.000468377, 0.1069755331]",0,0.01968210916,raw_action_units,190,6073,769564,769564,true
35,train,0.01911218832,0.01779021516,raw_action_units,0.001321973181,0.001321973181,1.035183761,"[0.0008875355, 0.0012211798, 0.0014724346, 0.0017067413]","[1.2360742092, 1.0710902214, 0.9698485732, 0.8637209535]","[0.0091533605, 0.0151278041, 0.0206680931, 0.0261775739]","[0.009631726, 0.0059581553, 0.0101557449, 0.0003952992, 0.0008729813, 0.0004346217, 0.0970234498]",0,0.01779021436,raw_action_units,1315,42067,769564,769564,true
35,val,0.02058579154,0.01946526716,raw_action_units,0.00112052437,0.00112052437,0.8659485108,"[0.0007424328, 0.0010156027, 0.0012426387, 0.0014814232]","[1.1061352491, 0.9085302949, 0.7833678126, 0.6657603383]","[0.0094659338, 0.0157891363, 0.0227136109, 0.0294903331]","[0.0092517175, 0.0085977539, 0.0079199038, 0.0002734785, 0.0011687271, 0.0003646149, 0.1079771146]",0,0.01946526632,raw_action_units,190,6073,769564,769564,true
36,train,0.0188964849,0.01757873349,raw_action_units,0.001317751412,0.001317751412,1.073954562,"[0.0008895042, 0.0012187992, 0.001464188, 0.0016985124]","[1.2915672064, 1.1101592779, 1.0004248619, 0.8936689496]","[0.0091381865, 0.0149713336, 0.0203816611, 0.0257392675]","[0.0096590789, 0.0059073032, 0.0101097692, 0.0003869198, 0.000891833, 0.0004362678, 0.0955121294]",0,0.0175787327,raw_action_units,1315,42067,769564,769564,true
36,val,0.02072594857,0.01958392268,raw_action_units,0.001142025835,0.001142025836,0.9433277902,"[0.0007965158, 0.001043605, 0.0012596336, 0.0014683487]","[1.205591917, 0.9873789549, 0.8501559496, 0.7301844358]","[0.0091646314, 0.0160260126, 0.0229005851, 0.0298771318]","[0.0121298833, 0.0071663954, 0.010037899, 0.000330171, 0.0008446785, 0.0004016943, 0.1055339277]",0,0.01958392181,raw_action_units,190,6073,769564,769564,true
37,train,0.01879749353,0.01746704509,raw_action_units,0.001330448466,0.001330448466,1.174574745,"[0.0009040221, 0.0012323989, 0.0014785921, 0.0017067809]","[1.4144728184, 1.2133654356, 1.0935351849, 0.9769235253]","[0.0090571223, 0.0148624238, 0.0202930085, 0.0255726371]","[0.0096105058, 0.0059136846, 0.0101617165, 0.0003889216, 0.0008466377, 0.0004418054, 0.0947607309]",0,0.0174670443,raw_action_units,1315,42067,769564,769564,true
37,val,0.02101840227,0.01996064961,raw_action_units,0.001057752638,0.001057752639,1.151354983,"[0.0007117295, 0.0009646007, 0.0011750984, 0.0013795815]","[1.4720400572, 1.1948472261, 1.0422459841, 0.8962869644]","[0.0094274636, 0.0162720867, 0.0232419278, 0.0305218175]","[0.0093197478, 0.006922578, 0.0091427611, 0.0003272133, 0.0011532186, 0.0004062324, 0.1117889881]",0,0.01996064869,raw_action_units,190,6073,769564,769564,true
38,train,0.01868701432,0.01736959696,raw_action_units,0.001317417346,0.001317417346,1.280144229,"[0.0008914578, 0.0012185571, 0.0014649567, 0.0016946995]","[1.544765234, 1.3224252462, 1.1888382435, 1.0645503998]","[0.0091091162, 0.0148888947, 0.0201131292, 0.025315024]","[0.0095555522, 0.0058715194, 0.0100883488, 0.0003955199, 0.0008656683, 0.0004334401, 0.0942857265]",0,0.01736959618,raw_action_units,1315,42067,769564,769564,true
38,val,0.02107743785,0.01995334234,raw_action_units,0.001124095462,0.001124095462,1.315735698,"[0.0007341485, 0.0009869902, 0.0012449456, 0.0015302974]","[1.6714421511, 1.3642772436, 1.1896568537, 1.0375666618]","[0.0090749217, 0.016210733, 0.023722209, 0.0305068921]","[0.0098506808, 0.0069672144, 0.009422834, 0.0002995958, 0.0009841286, 0.0004028789, 0.1112235114]",0,0.01995334152,raw_action_units,190,6073,769564,769564,true
39,train,0.01842099001,0.01710569664,raw_action_units,0.00131529338,0.00131529338,1.367064597,"[0.0008918676, 0.001217135, 0.0014619336, 0.0016902385]","[1.6458120346, 1.412959218, 1.2721829414, 1.1373050213]","[0.0090105981, 0.0145496726, 0.0198071487, 0.0250294711]","[0.009482462, 0.0058664382, 0.0100796977, 0.0003959108, 0.0008794219, 0.0004237017, 0.0925669149]",0,0.01710569587,raw_action_units,1315,42067,769564,769564,true
39,val,0.02066863041,0.01961214311,raw_action_units,0.001056487362,0.001056487362,1.259121856,"[0.0007074107, 0.0009621724, 0.001171184, 0.0013851814]","[1.6403323412, 1.3136525154, 1.1235096455, 0.9589933753]","[0.0094438121, 0.0159976259, 0.0229186937, 0.0297705177]","[0.0089622485, 0.0068073161, 0.0085390043, 0.0002863609, 0.000832654, 0.0004661586, 0.1108348668]",0,0.01961214219,raw_action_units,190,6073,769564,769564,true
40,train,0.01835289544,0.01703913952,raw_action_units,0.001313755933,0.001313755933,1.471351179,"[0.0008939403, 0.0012165413, 0.0014591668, 0.0016853764]","[1.7876433134, 1.5189564228, 1.3612272739, 1.2175775766]","[0.0089978687, 0.0144970296, 0.0196542069, 0.0249299519]","[0.009375697, 0.0058059143, 0.009918185, 0.0003882798, 0.0008663752, 0.0004252357, 0.0923586562]",0,0.01703913876,raw_action_units,1315,42067,769564,769564,true
40,val,0.02085652766,0.01977562722,raw_action_units,0.001080900482,0.001080900482,1.327071214,"[0.0007216063, 0.0009796385, 0.0012040888, 0.0014182673]","[1.721326232, 1.3876616955, 1.1874682903, 1.011829257]","[0.0093010301, 0.0161340386, 0.0232129898, 0.0301368292]","[0.0094968351, 0.0069638854, 0.0095388722, 0.0002571892, 0.0008724796, 0.0004026777, 0.1103415862]",0,0.01977562633,raw_action_units,190,6073,769564,769564,true
41,train,0.01823799558,0.01692440202,raw_action_units,0.001313593554,0.001313593554,1.518116801,"[0.0008930468, 0.001216282, 0.0014584138, 0.001686633]","[1.8600460291, 1.5690279007, 1.3957433701, 1.2476524115]","[0.0090071633, 0.0145153692, 0.01949149, 0.024636982]","[0.0094106821, 0.0057999012, 0.0099065183, 0.0003998475, 0.0008710119, 0.0004305277, 0.0915707573]",0,0.01692440127,raw_action_units,1315,42067,769564,769564,true
41,val,0.02121541198,0.02005955962,raw_action_units,0.001155852354,0.001155852354,1.52674986,"[0.0007811455, 0.0010453495, 0.0012848307, 0.0015120843]","[1.8962837458, 1.5842006207, 1.4042896032, 1.2222253084]","[0.0092177633, 0.0162808243, 0.02375108, 0.0306187812]","[0.0104308566, 0.0074446495, 0.0083092842, 0.0002942533, 0.001099401, 0.0004216782, 0.1117696762]",0,0.02005955862,raw_action_units,190,6073,769564,769564,true
42,train,0.01802131643,0.0167148377,raw_action_units,0.001306478744,0.001306478744,1.666408337,"[0.0008886175, 0.0012093557, 0.0014511643, 0.0016767803]","[2.0416567326, 1.7217234373, 1.5328929424, 1.3693628311]","[0.0089089666, 0.0142608462, 0.0192728378, 0.0243996251]","[0.0093396734, 0.0057726451, 0.0098400386, 0.000392192, 0.000860374, 0.0004267156, 0.0903423354]",0,0.01671483693,raw_action_units,1315,42067,769564,769564,true
42,val,0.02396682125,0.02283641228,raw_action_units,0.00113040899,0.00113040899,1.654025666,"[0.0007596534, 0.0010263862, 0.0012528148, 0.0014827814]","[2.1374573708, 1.7111924887, 1.4790254831, 1.2884277105]","[0.0102651808, 0.0184436329, 0.0264940765, 0.0357630178]","[0.0093418602, 0.0074878768, 0.0111886067, 0.0003944522, 0.0008527881, 0.0003824864, 0.1295422614]",0,0.02283641127,raw_action_units,190,6073,769564,769564,true
43,train,0.01789998912,0.01659039748,raw_action_units,0.001309591634,0.001309591634,1.763859767,"[0.0008893155, 0.0012114703, 0.0014536903, 0.0016838908]","[2.1656200886, 1.8194745779, 1.6175359488, 1.4528084993]","[0.0088732233, 0.0141869178, 0.0191383772, 0.0241260231]","[0.0092880642, 0.0057234797, 0.0098438673, 0.000398642, 0.0008596913, 0.0004283529, 0.0895258561]",0,0.01659039675,raw_action_units,1315,42067,769564,769564,true
43,val,0.02094209201,0.0198606837,raw_action_units,0.001081408285,0.001081408285,1.551613661,"[0.000733789, 0.0009851998, 0.0012072518, 0.0013993926]","[2.0050098896, 1.6027520895, 1.3822141886, 1.216478467]","[0.009675242, 0.016459709, 0.0231213514, 0.0299056694]","[0.0109717166, 0.0071152318, 0.0101250997, 0.0004243759, 0.0008478982, 0.0004158241, 0.1086333022]",0,0.01986068283,raw_action_units,190,6073,769564,769564,true
44,train,0.01777113058,0.01646842765,raw_action_units,0.001302702923,0.001302702923,1.884152884,"[0.0008879154, 0.0012063249, 0.0014456174, 0.0016709561]","[2.317350626, 1.9460551739, 1.7260245085, 1.5471814871]","[0.0088149235, 0.0140839173, 0.0189357493, 0.0240135714]","[0.0092529776, 0.0056865546, 0.0097072851, 0.0003783397, 0.0008613816, 0.0004200388, 0.0889276415]",0,0.0164684269,raw_action_units,1315,42067,769564,769564,true
44,val,0.02184103392,0.02076953857,raw_action_units,0.001071495366,0.001071495366,1.910917257,"[0.0007128646, 0.0009667277, 0.0011961359, 0.0014102535]","[2.4435799122, 1.9781355858, 1.7115514278, 1.5104022026]","[0.0096806539, 0.0171772521, 0.0244659539, 0.0314610265]","[0.0093473261, 0.007420944, 0.0086600911, 0.0003065152, 0.0008235115, 0.0005025645, 0.1178125739]",0,0.02076953754,raw_action_units,190,6073,769564,769564,true
45,train,0.01765973481,0.01636126581,raw_action_units,0.001298468988,0.001298468988,1.973320099,"[0.0008857163, 0.0012047652, 0.0014397918, 0.0016636014]","[2.4306604862, 2.040802002, 1.8043117523, 1.6175048351]","[0.0087997569, 0.013987029, 0.0187394023, 0.0238917246]","[0.0092402706, 0.005753112, 0.0096392632, 0.0003834131, 0.0008365471, 0.0004216165, 0.0882071033]",0,0.01636126507,raw_action_units,1315,42067,769564,769564,true
45,val,0.0205929542,0.01950249911,raw_action_units,0.001090455144,0.001090455145,1.55919309,"[0.0007350058, 0.0009997427, 0.0012166623, 0.0014104097]","[2.058822155, 1.6275571585, 1.3704568148, 1.1799371243]","[0.0088232672, 0.0157672595, 0.0229684953, 0.0301126912]","[0.0096529173, 0.0070003271, 0.0100348974, 0.0002818019, 0.0009189374, 0.0004109352, 0.1076256931]",0,0.01950249828,raw_action_units,190,6073,769564,769564,true
46,train,0.01743943009,0.01614705088,raw_action_units,0.001292379226,0.001292379226,2.007023663,"[0.0008871316, 0.0011996748, 0.0014310257, 0.0016516844]","[2.499360323, 2.08294034, 1.8229267597, 1.6228661537]","[0.0087618129, 0.0138581889, 0.0184983872, 0.0234484095]","[0.0092443274, 0.0057141935, 0.0097605148, 0.0003890147, 0.0008666615, 0.0004272007, 0.0865899697]",0,0.01614705013,raw_action_units,1315,42067,769564,769564,true
46,val,0.02095613513,0.01986290619,raw_action_units,0.00109322887,0.001093228871,1.859657099,"[0.000744982, 0.0010023778, 0.0012121892, 0.0014133657]","[2.4632387161, 1.9357602596, 1.6284749508, 1.4111546278]","[0.0092532169, 0.0163761154, 0.023167083, 0.0302088801]","[0.0090504503, 0.0067500686, 0.0082684373, 0.0003208824, 0.0008502718, 0.0003729994, 0.1126461476]",0,0.01986290532,raw_action_units,190,6073,769564,769564,true
47,train,0.01730685954,0.01601445815,raw_action_units,0.001292401403,0.001292401403,2.127692444,"[0.0008841562, 0.0011982661, 0.0014324007, 0.0016547826]","[2.6612920761, 2.2107925415, 1.930010438, 1.7086735964]","[0.0087412614, 0.01377236, 0.0183111206, 0.0231802221]","[0.0091209607, 0.0057145301, 0.0096822716, 0.0003830656, 0.000858316, 0.0004144133, 0.0858351439]",0,0.01601445743,raw_action_units,1315,42067,769564,769564,true
47,val,0.02167302132,0.02059686981,raw_action_units,0.001076151477,0.001076151477,1.904900074,"[0.0007073548, 0.0009782097, 0.0012153969, 0.0014036439]","[2.5160560608, 1.9827408791, 1.6758719683, 1.444930315]","[0.0089797787, 0.0165913589, 0.0241108797, 0.032416027]","[0.0089902794, 0.0066287983, 0.0089590158, 0.0002920636, 0.0008275964, 0.000478089, 0.1174957305]",0,0.02059686888,raw_action_units,190,6073,769564,769564,true
48,train,0.01709456443,0.01580236168,raw_action_units,0.001292202743,0.001292202743,2.217039954,"[0.0008836031, 0.0011981147, 0.0014331306, 0.001653963]","[2.7703473568, 2.3005433083, 2.0110957623, 1.7861750126]","[0.0086496174, 0.0135550192, 0.0180276129, 0.0229171775]","[0.0091632195, 0.0056541124, 0.009568369, 0.0003842828, 0.0008669808, 0.0004363207, 0.0844381973]",0,0.01580236097,raw_action_units,1315,42067,769564,769564,true
48,val,0.0211574052,0.02002404665,raw_action_units,0.001133358566,0.001133358566,2.135635462,"[0.0007881813, 0.0010260404, 0.0012520744, 0.0014671381]","[2.7825553417, 2.2121891975, 1.8983803988, 1.6494181156]","[0.010278441, 0.0160441827, 0.0230069682, 0.0303769447]","[0.01009796, 0.0074195159, 0.0107744792, 0.0002889337, 0.0010945392, 0.0003729475, 0.1094380617]",0,0.02002404573,raw_action_units,190,6073,769564,769564,true
49,train,0.01689563809,0.01560754259,raw_action_units,0.001288095484,0.001288095484,2.35580763,"[0.0008812197, 0.0011939072, 0.0014285091, 0.0016487441]","[2.9558129311, 2.4459574223, 2.1325230598, 1.888931036]","[0.0086151361, 0.0133276498, 0.0177547578, 0.0227002632]","[0.0089808479, 0.0056319833, 0.0095973564, 0.0003885817, 0.0008444571, 0.000423014, 0.0833299533]",0,0.01560754189,raw_action_units,1315,42067,769564,769564,true
49,val,0.02118866654,0.02010159947,raw_action_units,0.001087067051,0.00108706705,2.354090645,"[0.0007416974, 0.0009826716, 0.0012060002, 0.0014178996]","[3.1132311821, 2.4545004368, 2.0715515614, 1.7770808935]","[0.0089421235, 0.0160743333, 0.0235744715, 0.0313073806]","[0.0097215325, 0.006689521, 0.0091772601, 0.0003084671, 0.0008400456, 0.0003756462, 0.1127095222]",0,0.0201015985,raw_action_units,190,6073,769564,769564,true
50,train,0.01685694235,0.0155746196,raw_action_units,0.001282322751,0.001282322751,2.475129642,"[0.0008790682, 0.001189143, 0.0014188557, 0.0016422236]","[3.1064434052, 2.5713846684, 2.2372086048, 1.9854794741]","[0.0086094672, 0.0133433398, 0.0176950842, 0.0226381682]","[0.0090915123, 0.0055999202, 0.0093976697, 0.0003776423, 0.0008327987, 0.0004208567, 0.083280161]",0,0.01557461888,raw_action_units,1315,42067,769564,769564,true
50,val,0.02113659405,0.02008860314,raw_action_units,0.001047990972,0.001047990972,2.503542033,"[0.0007078879, 0.0009456738, 0.001163654, 0.0013747482]","[3.2674314976, 2.5969111919, 2.2196853161, 1.9301383495]","[0.0091720885, 0.0163424518, 0.0235990807, 0.030835256]","[0.0090671135, 0.0066788658, 0.0102664009, 0.0002923014, 0.0012027293, 0.0003771179, 0.1120259538]",0,0.02008860232,raw_action_units,190,6073,769564,769564,true
51,train,0.01654167313,0.01526267678,raw_action_units,0.001278996347,0.001278996347,2.61826697,"[0.0008783676, 0.0011873958, 0.0014164392, 0.0016337818]","[3.3043787479, 2.7207915783, 2.358243227, 2.0896561146]","[0.0085689267, 0.0130861988, 0.0172899719, 0.0220602285]","[0.009002638, 0.0055747922, 0.0094256736, 0.0003832722, 0.0008511015, 0.0004178013, 0.0811040029]",0,0.01526267608,raw_action_units,1315,42067,769564,769564,true
51,val,0.02140904448,0.02032866134,raw_action_units,0.001080383137,0.001080383137,2.251827027,"[0.0007396532, 0.0009842849, 0.0011922838, 0.0014053104]","[3.0074343681, 2.3352367878, 1.9580526352, 1.7065845728]","[0.0090026651, 0.0163377766, 0.0235936902, 0.0319540985]","[0.0094129723, 0.0072107119, 0.0097496165, 0.0003635995, 0.0008893881, 0.000514176, 0.1134139672]",0,0.02032866034,raw_action_units,190,6073,769564,769564,true
52,train,0.01647192926,0.01518508097,raw_action_units,0.001286848285,0.001286848285,2.637603239,"[0.0008861456, 0.0011950182, 0.0014235419, 0.0016426864]","[3.3551187515, 2.7448043823, 2.3619403839, 2.0885519981]","[0.0085242372, 0.0130010443, 0.0171220768, 0.0220558308]","[0.0089987498, 0.0055815424, 0.009426754, 0.0003884398, 0.0008585726, 0.0004236902, 0.0805528536]",0,0.01518508029,raw_action_units,1315,42067,769564,769564,true
52,val,0.02113549484,0.01991698517,raw_action_units,0.001218509673,0.001218509673,2.174636118,"[0.0008126079, 0.0011047807, 0.00134524, 0.0016114097]","[2.8998203278, 2.2690839767, 1.8923549652, 1.6372836828]","[0.0088758087, 0.0158579666, 0.0235227756, 0.0311138425]","[0.0088546788, 0.0070924382, 0.0095109288, 0.0003264961, 0.0008019278, 0.0003996288, 0.1119121462]",0,0.01991698429,raw_action_units,190,6073,769564,769564,true
53,train,0.01623914757,0.01496939137,raw_action_units,0.001269756212,0.001269756212,2.791148042,"[0.0008705859, 0.0011796901, 0.0014051711, 0.001623575]","[3.5478703976, 2.9049911499, 2.4985916615, 2.2131357193]","[0.0084971068, 0.0128318109, 0.0169080924, 0.0216141418]","[0.0090603558, 0.0055583431, 0.0093771713, 0.0003791688, 0.0008383871, 0.0004264081, 0.079099603]",0,0.01496939071,raw_action_units,1315,42067,769564,769564,true
53,val,0.02145019221,0.02039203886,raw_action_units,0.001058153321,0.001058153321,2.860572841,"[0.0007233309, 0.0009660421, 0.0011660522, 0.0013771877]","[3.7064549923, 2.9842009544, 2.530633688, 2.2210011482]","[0.0106869955, 0.0171025153, 0.0232349448, 0.0302008595]","[0.0098778568, 0.0070308219, 0.0109755928, 0.0002733947, 0.0008750241, 0.0003922098, 0.1127194017]",0,0.02039203797,raw_action_units,190,6073,769564,769564,true
54,train,0.01625984424,0.01497398352,raw_action_units,0.00128586071,0.00128586071,2.859065745,"[0.0008850534, 0.0011936543, 0.0014235104, 0.0016412246]","[3.6397993565, 2.9782476425, 2.5579657555, 2.2602529526]","[0.008361904, 0.0127095301, 0.0169117358, 0.0218693465]","[0.0088584004, 0.0055784518, 0.009343883, 0.0003874952, 0.0008335257, 0.000419217, 0.0793207809]",0,0.01497398285,raw_action_units,1315,42067,769564,769564,true
54,val,0.02258569093,0.02150431734,raw_action_units,0.00108137367,0.001081373671,2.278449472,"[0.0007544237, 0.0009845512, 0.0011884409, 0.0013980785]","[3.0440518856, 2.367452383, 1.9779051542, 1.7243876457]","[0.0100959279, 0.0170095544, 0.0249970164, 0.0336197391]","[0.0101490989, 0.007221729, 0.0138519621, 0.0002894377, 0.0009507816, 0.0004466576, 0.1171042472]",0,0.0215043165,raw_action_units,190,6073,769564,769564,true
55,train,0.01597343277,0.01470540627,raw_action_units,0.001268026492,0.001268026492,2.907497569,"[0.0008750393, 0.0011787239, 0.0014022557, 0.0016160896]","[3.716584444, 3.0290923119, 2.5931916237, 2.2911183834]","[0.0084038153, 0.0126014827, 0.0164487697, 0.0212782286]","[0.0088274367, 0.0055581285, 0.0093307616, 0.0003817082, 0.0008400658, 0.0004315705, 0.0774117485]",0,0.01470540564,raw_action_units,1315,42067,769564,769564,true
55,val,0.02136575617,0.02030539476,raw_action_units,0.001060361441,0.001060361441,2.804464712,"[0.0007120575, 0.0009577208, 0.0011744276, 0.0013972395]","[3.7769529819, 2.9264597893, 2.4249436855, 2.0895023346]","[0.0093630413, 0.0164639112, 0.0237437785, 0.0312587805]","[0.0102964267, 0.006635393, 0.01180756, 0.0002674482, 0.000866855, 0.0004422665, 0.1111357063]",0,0.02030539386,raw_action_units,190,6073,769564,769564,true
56,train,0.01580057964,0.01453143451,raw_action_units,0.001269145142,0.001269145142,3.009231202,"[0.000876738, 0.0011795642, 0.0014029401, 0.001617338]","[3.8705832958, 3.1395878792, 2.6728651524, 2.3538918495]","[0.0083222706, 0.0123605235, 0.0163088962, 0.0211033523]","[0.0088322433, 0.0055351909, 0.0091719385, 0.0003790598, 0.000834416, 0.0004225261, 0.0764910132]",0,0.01453143386,raw_action_units,1315,42067,769564,769564,true
56,val,0.02177794044,0.02068908016,raw_action_units,0.00108886031,0.001088860311,3.126967773,"[0.0007250449, 0.0009893937, 0.0012141615, 0.0014268411]","[4.1211743355, 3.2658138275, 2.743516922, 2.3773634434]","[0.0091186659, 0.0163164753, 0.0242090207, 0.0327262394]","[0.0104002822, 0.0066821789, 0.0103514371, 0.0002768802, 0.0008472697, 0.0004728257, 0.1151173264]",0,0.02068907923,raw_action_units,190,6073,769564,769564,true
57,train,0.01565798329,0.01439308574,raw_action_units,0.001264897541,0.001264897541,3.133129095,"[0.0008738396, 0.001176191, 0.0013984977, 0.0016110613]","[4.0250000954, 3.2651224136, 2.7844259739, 2.4579675198]","[0.0083134556, 0.0123739112, 0.0161100421, 0.0207510125]","[0.0087947827, 0.005480187, 0.0092327353, 0.0003844275, 0.0008498713, 0.0004229381, 0.0755448341]",0,0.0143930851,raw_action_units,1315,42067,769564,769564,true
57,val,0.02173331302,0.0206824835,raw_action_units,0.001050829532,0.001050829532,3.080068885,"[0.0007032293, 0.0009414672, 0.0011679799, 0.0013906417]","[4.0602173805, 3.207344532, 2.7084784508, 2.3442358971]","[0.0095176315, 0.016876407, 0.0243139695, 0.0315653645]","[0.0088921599, 0.0073016766, 0.0097331554, 0.0003093254, 0.0008213568, 0.0004923211, 0.1164283827]",0,0.02068248258,raw_action_units,190,6073,769564,769564,true
58,train,0.01544548829,0.01417941202,raw_action_units,0.001266076263,0.001266076263,3.181533256,"[0.0008742653, 0.0011769587, 0.0013999538, 0.0016131275]","[4.1049318314, 3.3211402893, 2.8219983578, 2.4780642986]","[0.0082152374, 0.0121285068, 0.0158475116, 0.0204515159]","[0.0087390998, 0.0055022319, 0.009101578, 0.0003881112, 0.0008560352, 0.0004239345, 0.0741138235]",0,0.01417941138,raw_action_units,1315,42067,769564,769564,true
