epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
6,val,0.02327464763,0.02181091057,raw_action_units,0.001463737013,0.001463737013,0.8594764551,"[0.0009747481, 0.0013540158, 0.001654355, 0.0018718294]","[0.8980865479, 0.8773950338, 0.8268734813, 0.8355506659]","[0.011713611, 0.0183685292, 0.0253672432, 0.0313862488]","[0.0098879226, 0.0080797737, 0.0133759957, 0.0006185158, 0.0020812131, 0.0009399052, 0.1169790104]",0,0.02181090969,raw_action_units,190,6073,769564,769564,true
7,train,0.02433358555,0.02265590842,raw_action_units,0.001677677127,0.001677677127,0.7137756033,"[0.0011243797, 0.0015388387, 0.0018695963, 0.0021778934]","[0.7589404583, 0.7317941785, 0.6790612936, 0.6853055954]","[0.0108476169, 0.0191184003, 0.0266189538, 0.0339488648]","[0.0117911715, 0.007722436, 0.0128010213, 0.0007519068, 0.001312046, 0.0008269229, 0.1232286692]",0,0.02265590741,raw_action_units,1315,42067,769564,769564,true
7,val,0.02278580602,0.02146695722,raw_action_units,0.001318848822,0.001318848822,0.6654461732,"[0.0008961703, 0.0012050972, 0.0014557205, 0.0017184071]","[0.6972208619, 0.6778549552, 0.6391870379, 0.6475220323]","[0.0103117526, 0.0171435699, 0.0259365011, 0.0320837274]","[0.0123301744, 0.0082308631, 0.0107279979, 0.0004369571, 0.0012461741, 0.0005967029, 0.1160132661]",0,0.02146695635,raw_action_units,190,6073,769564,769564,true
8,train,0.0237863974,0.0221551716,raw_action_units,0.001631225833,0.001631225833,0.5679219172,"[0.0010818811, 0.0014928431, 0.0018236703, 0.002126507]","[0.6016919613, 0.5809070468, 0.5387366414, 0.5503515005]","[0.0108247539, 0.0186665133, 0.0260005649, 0.0330618024]","[0.0117085632, 0.0076089543, 0.0124863153, 0.0007090748, 0.0012861914, 0.0007748073, 0.1203947961]",0,0.02215517065,raw_action_units,1315,42067,769564,769564,true
8,val,0.0221570402,0.02083764566,raw_action_units,0.001319394534,0.001319394534,0.5581520765,"[0.0008988043, 0.0011930064, 0.0014692219, 0.0017165471]","[0.5818395615, 0.5634790659, 0.5356931686, 0.5515964627]","[0.0093834512, 0.0168259293, 0.0244841184, 0.032291647]","[0.0088911997, 0.007645526, 0.0097121047, 0.0007048309, 0.0014128879, 0.0005924872, 0.1162649989]",0,0.02083764472,raw_action_units,190,6073,769564,769564,true
9,train,0.02358076935,0.02197983314,raw_action_units,0.001600936233,0.001600936233,0.462820559,"[0.0010612073, 0.0014655769, 0.0017889449, 0.0020880173]","[0.4858192205, 0.4699095488, 0.4397771955, 0.4557756186]","[0.0107136732, 0.0185765624, 0.0258177016, 0.0327816084]","[0.0115394993, 0.0073812711, 0.0122248363, 0.0006781055, 0.0012034398, 0.0007588472, 0.1200206131]",0,0.02197983217,raw_action_units,1315,42067,769564,769564,true
9,val,0.02496702594,0.02368792917,raw_action_units,0.001279096813,0.001279096813,0.3475653356,"[0.0008289424, 0.0011372606, 0.0014232633, 0.0017269198]","[0.3615607619, 0.3487101197, 0.3346418738, 0.3453485966]","[0.0107421726, 0.0207462907, 0.0276545845, 0.0351856574]","[0.008250311, 0.0070551452, 0.0086950157, 0.0004778754, 0.0011320525, 0.0005925386, 0.1388723403]",0,0.02368792809,raw_action_units,190,6073,769564,769564,true
10,train,0.02328999273,0.02171831116,raw_action_units,0.001571681569,0.001571681569,0.3691671682,"[0.001035911, 0.0014387132, 0.0017596114, 0.0020524899]","[0.3803286254, 0.3717644811, 0.3526859283, 0.371889174]","[0.0105935885, 0.0182884242, 0.025544662, 0.0323735029]","[0.0116345836, 0.0074601299, 0.0122490069, 0.0006251873, 0.0011538487, 0.0007312723, 0.1180462986]",0,0.02171831017,raw_action_units,1315,42067,769564,769564,true
10,val,0.02199721543,0.02068791461,raw_action_units,0.001309300809,0.001309300809,0.3469826033,"[0.0008757978, 0.0011938433, 0.001475424, 0.0016921383]","[0.3543123007, 0.34892717, 0.3353071213, 0.3493840396]","[0.0092273569, 0.0165007003, 0.0247247592, 0.0319544636]","[0.00969622, 0.0089934384, 0.0090427306, 0.0005368429, 0.0010802273, 0.00068365, 0.1141796336]",0,0.02068791361,raw_action_units,190,6073,769564,769564,true
11,train,0.02287286616,0.02133045674,raw_action_units,0.001542409414,0.001542409414,0.2799101013,"[0.0010138708, 0.0014124154, 0.0017280108, 0.0020153394]","[0.284515053, 0.2788861096, 0.2677500546, 0.2884889543]","[0.0103545329, 0.0179716963, 0.0251891389, 0.0317048579]","[0.0114075029, 0.0072602048, 0.0120577672, 0.0005435796, 0.0011004927, 0.0006907432, 0.1160751358]",0,0.02133045579,raw_action_units,1315,42067,769564,769564,true
