metric,value
gripper_mse,0.0339270681142807
gripper_mae,0.11433704942464828
sign_accuracy_active,0.9973958134651184
open_accuracy,1.0
close_accuracy,0.9921875
transition_precision,1.0
transition_recall,0.8
transition_f1,0.888888888888889
close_timing_error_steps,2.4
sign_correlation,0.9829419255256653
n_open,256
n_close,128
n_neutral,0
n_transitions_true,10
n_transitions_pred,8
